Reverse_Adult,0.1824 $\pm$ 0.0,0.4998 $\pm$ 0.0016,0.659 $\pm$ 0.0011,0.7381 $\pm$ 0.0011,0.8176 $\pm$ 0.0,5
Reverse_Bank,0.1079 $\pm$ 0.0,0.5003 $\pm$ 0.0011,0.696 $\pm$ 0.0008,0.7943 $\pm$ 0.0008,0.8921 $\pm$ 0.0,5
Reverse_Cardio,0.4213 $\pm$ 0.0,0.5005 $\pm$ 0.0021,0.5397 $\pm$ 0.0014,0.5592 $\pm$ 0.0011,0.5787 $\pm$ 0.0,5
Reverse_Chess,0.1638 $\pm$ 0.0,0.4993 $\pm$ 0.0024,0.6679 $\pm$ 0.0018,0.752 $\pm$ 0.0016,0.8362 $\pm$ 0.0,5
Reverse_Credit,0.2212 $\pm$ 0.0,0.5 $\pm$ 0.0,0.6394 $\pm$ 0.0,0.7091 $\pm$ 0.0,0.7788 $\pm$ 0.0,5
Reverse_Diamonds,0.3301 $\pm$ 0.0,0.5002 $\pm$ 0.0014,0.5849 $\pm$ 0.0016,0.6274 $\pm$ 0.0013,0.6699 $\pm$ 0.0,5
Reverse_Gamma,0.2288 $\pm$ 0.0,0.5005 $\pm$ 0.0027,0.6361 $\pm$ 0.0022,0.7036 $\pm$ 0.0017,0.7712 $\pm$ 0.0,5
Reverse_PokerPart,0.3653 $\pm$ 0.0,0.4999 $\pm$ 0.0018,0.5674 $\pm$ 0.0012,0.601 $\pm$ 0.001,0.6347 $\pm$ 0.0,5
Feature_0_Adult,0.8462 $\pm$ 0.0,0.8318 $\pm$ 0.0005,0.8247 $\pm$ 0.0004,0.8212 $\pm$ 0.0003,0.8176 $\pm$ 0.0,1
Feature_0_Bank,0.45 $\pm$ 0.0,0.6709 $\pm$ 0.0008,0.7813 $\pm$ 0.0009,0.8369 $\pm$ 0.0009,0.8921 $\pm$ 0.0,5
Feature_0_Cardio,0.2367 $\pm$ 0.0,0.4077 $\pm$ 0.0008,0.4933 $\pm$ 0.0007,0.536 $\pm$ 0.0005,0.5787 $\pm$ 0.0,5
Feature_0_Chess,0.5286 $\pm$ 0.0,0.6824 $\pm$ 0.0007,0.7595 $\pm$ 0.0008,0.798 $\pm$ 0.0007,0.8362 $\pm$ 0.0,5
Feature_0_Credit,0.7788 $\pm$ 0.0,0.7788 $\pm$ 0.0,0.7788 $\pm$ 0.0,0.7788 $\pm$ 0.0,0.7788 $\pm$ 0.0,1
Feature_0_Diamonds,0.6619 $\pm$ 0.0,0.6658 $\pm$ 0.0008,0.6678 $\pm$ 0.0007,0.6689 $\pm$ 0.0006,0.6699 $\pm$ 0.0,5
Feature_0_Gamma,0.7458 $\pm$ 0.0,0.7585 $\pm$ 0.0012,0.765 $\pm$ 0.001,0.7683 $\pm$ 0.0007,0.7712 $\pm$ 0.0,5
Feature_0_PokerPart,0.6911 $\pm$ 0.0,0.6629 $\pm$ 0.0006,0.6488 $\pm$ 0.0004,0.6418 $\pm$ 0.0004,0.6347 $\pm$ 0.0,1
Feature_1_Adult,0.7281 $\pm$ 0.0,0.7728 $\pm$ 0.0006,0.7952 $\pm$ 0.0005,0.8063 $\pm$ 0.0004,0.8176 $\pm$ 0.0,5
Feature_1_Bank,0.9188 $\pm$ 0.0,0.9053 $\pm$ 0.0005,0.8988 $\pm$ 0.0005,0.8954 $\pm$ 0.0004,0.8921 $\pm$ 0.0,1
Feature_1_Cardio,0.763 $\pm$ 0.0,0.6708 $\pm$ 0.0013,0.6248 $\pm$ 0.0008,0.6017 $\pm$ 0.0008,0.5787 $\pm$ 0.0,1
Feature_1_Chess,0.6932 $\pm$ 0.0,0.764 $\pm$ 0.0015,0.8004 $\pm$ 0.001,0.8184 $\pm$ 0.0008,0.8362 $\pm$ 0.0,5
Feature_1_Credit,0.7788 $\pm$ 0.0,0.7788 $\pm$ 0.0,0.7788 $\pm$ 0.0,0.7788 $\pm$ 0.0,0.7788 $\pm$ 0.0,1
Feature_1_Diamonds,0.6059 $\pm$ 0.0,0.638 $\pm$ 0.0006,0.6538 $\pm$ 0.0006,0.662 $\pm$ 0.0005,0.6699 $\pm$ 0.0,5
Feature_1_Gamma,0.6431 $\pm$ 0.0,0.707 $\pm$ 0.0018,0.7391 $\pm$ 0.0012,0.7552 $\pm$ 0.001,0.7712 $\pm$ 0.0,5
Feature_1_PokerPart,0.4711 $\pm$ 0.0,0.5528 $\pm$ 0.0008,0.5938 $\pm$ 0.0005,0.6143 $\pm$ 0.0004,0.6347 $\pm$ 0.0,5
