Measurement,Base_to_1,Base_to_2,Base_to_4,Bast_to_8,Base_to_Base
1,0.013 $\pm$ 0.0,0.0485 $\pm$ 0.0153,0.0573 $\pm$ 0.0255,0.0847 $\pm$ 0.0339,1.0 $\pm$ 0.0
2,0.023 $\pm$ 0.0,0.0775 $\pm$ 0.0215,0.0863 $\pm$ 0.0347,0.1236 $\pm$ 0.0447,1.0 $\pm$ 0.0
3,0.023 $\pm$ 0.0,0.0775 $\pm$ 0.0215,0.0863 $\pm$ 0.0347,0.1236 $\pm$ 0.0447,1.0 $\pm$ 0.0
4,0.0309 $\pm$ 0.0,0.0979 $\pm$ 0.0253,0.1055 $\pm$ 0.0401,0.1479 $\pm$ 0.0504,1.0 $\pm$ 0.0
5,0.023 $\pm$ 0.0,0.0775 $\pm$ 0.0215,0.0863 $\pm$ 0.0347,0.1236 $\pm$ 0.0447,1.0 $\pm$ 0.0
6,0.007 $\pm$ 0.0,0.0281 $\pm$ 0.0099,0.0352 $\pm$ 0.0173,0.0533 $\pm$ 0.0236,1.0 $\pm$ 0.0
7,0.161 $\pm$ 0.0,0.242 $\pm$ 0.0536,0.2121 $\pm$ 0.0645,0.241 $\pm$ 0.0626,1.0 $\pm$ 0.0
8,0.1803 $\pm$ 0.0,0.2662 $\pm$ 0.0589,0.2323 $\pm$ 0.0713,0.2616 $\pm$ 0.067,1.0 $\pm$ 0.0
9,0.1329 $\pm$ 0.0,0.2054 $\pm$ 0.0458,0.1818 $\pm$ 0.0549,0.2093 $\pm$ 0.0557,1.0 $\pm$ 0.0
10,0.0821 $\pm$ 0.0,0.1265 $\pm$ 0.0279,0.1122 $\pm$ 0.0344,0.1299 $\pm$ 0.0347,0.6075 $\pm$ 0.0
11,0.1803 $\pm$ 0.0,0.2662 $\pm$ 0.0589,0.2323 $\pm$ 0.0713,0.2616 $\pm$ 0.067,1.0 $\pm$ 0.0
