Measurement,Base_to_1,Base_to_2,Base_to_4,Bast_to_8,Base_to_Base
1,0.0 $\pm$ 0.0,0.0595 $\pm$ 0.0335,0.0822 $\pm$ 0.0342,0.076 $\pm$ 0.0273,1.0 $\pm$ 0.0
2,0.0 $\pm$ 0.0,0.0891 $\pm$ 0.0467,0.1213 $\pm$ 0.0466,0.1091 $\pm$ 0.036,1.0 $\pm$ 0.0
3,0.0 $\pm$ 0.0,0.0891 $\pm$ 0.0467,0.1213 $\pm$ 0.0466,0.1091 $\pm$ 0.036,1.0 $\pm$ 0.0
4,0.0 $\pm$ 0.0,0.1078 $\pm$ 0.0539,0.1454 $\pm$ 0.0534,0.1293 $\pm$ 0.0409,1.0 $\pm$ 0.0
5,0.0 $\pm$ 0.0,0.0891 $\pm$ 0.0467,0.1213 $\pm$ 0.0466,0.1091 $\pm$ 0.036,1.0 $\pm$ 0.0
6,0.0 $\pm$ 0.0,0.0362 $\pm$ 0.0215,0.0507 $\pm$ 0.0227,0.0484 $\pm$ 0.0191,1.0 $\pm$ 0.0
7,0.0833 $\pm$ 0.0,0.219 $\pm$ 0.0782,0.22 $\pm$ 0.0647,0.2 $\pm$ 0.0547,1.0 $\pm$ 0.0
8,0.087 $\pm$ 0.0,0.2433 $\pm$ 0.0858,0.2445 $\pm$ 0.0708,0.2232 $\pm$ 0.0592,1.0 $\pm$ 0.0
9,0.0769 $\pm$ 0.0,0.1836 $\pm$ 0.0665,0.1841 $\pm$ 0.0553,0.1663 $\pm$ 0.0477,1.0 $\pm$ 0.0
10,0.0417 $\pm$ 0.0,0.1174 $\pm$ 0.0423,0.122 $\pm$ 0.0366,0.112 $\pm$ 0.031,0.6378 $\pm$ 0.0
11,0.087 $\pm$ 0.0,0.2433 $\pm$ 0.0858,0.2445 $\pm$ 0.0708,0.2232 $\pm$ 0.0592,1.0 $\pm$ 0.0
12,0.0 $\pm$ 0.0,0.9007 $\pm$ 0.5523,1.3181 $\pm$ 0.557,1.2327 $\pm$ 0.4299,10.4762 $\pm$ 0.0
13,4.0 $\pm$ 0.0,11.406 $\pm$ 4.1718,11.1926 $\pm$ 3.3162,9.6589 $\pm$ 2.628,38.0 $\pm$ 0.0
14,0.0 $\pm$ 0.0,0.0174 $\pm$ 0.0107,0.0259 $\pm$ 0.0109,0.0256 $\pm$ 0.0092,0.2757 $\pm$ 0.0
