Measurement,Base_to_1,Base_to_2,Base_to_4,Bast_to_8,Base_to_Base
1,0.1063 $\pm$ 0.0,0.1212 $\pm$ 0.0338,0.1874 $\pm$ 0.0429,0.1879 $\pm$ 0.0423,1.0 $\pm$ 0.0
2,0.1575 $\pm$ 0.0,0.1691 $\pm$ 0.0447,0.2215 $\pm$ 0.0526,0.2276 $\pm$ 0.0521,1.0 $\pm$ 0.0
3,0.1575 $\pm$ 0.0,0.1691 $\pm$ 0.0447,0.2215 $\pm$ 0.0526,0.2276 $\pm$ 0.0521,1.0 $\pm$ 0.0
4,0.1887 $\pm$ 0.0,0.198 $\pm$ 0.051,0.2415 $\pm$ 0.058,0.2514 $\pm$ 0.0579,1.0 $\pm$ 0.0
5,0.1575 $\pm$ 0.0,0.1691 $\pm$ 0.0447,0.2215 $\pm$ 0.0526,0.2276 $\pm$ 0.0521,1.0 $\pm$ 0.0
6,0.0649 $\pm$ 0.0,0.0803 $\pm$ 0.0243,0.1578 $\pm$ 0.0335,0.1545 $\pm$ 0.0339,1.0 $\pm$ 0.0
7,0.3174 $\pm$ 0.0,0.3025 $\pm$ 0.0611,0.286 $\pm$ 0.0685,0.3243 $\pm$ 0.0652,1.0 $\pm$ 0.0
8,0.3592 $\pm$ 0.0,0.3327 $\pm$ 0.0661,0.3054 $\pm$ 0.0747,0.3508 $\pm$ 0.0718,1.0 $\pm$ 0.0
9,0.2589 $\pm$ 0.0,0.2576 $\pm$ 0.0538,0.2573 $\pm$ 0.0594,0.2867 $\pm$ 0.0565,1.0 $\pm$ 0.0
10,0.1762 $\pm$ 0.0,0.1683 $\pm$ 0.0336,0.1593 $\pm$ 0.0399,0.1784 $\pm$ 0.0371,0.6508 $\pm$ 0.0
11,0.3592 $\pm$ 0.0,0.3327 $\pm$ 0.0661,0.3054 $\pm$ 0.0747,0.3508 $\pm$ 0.0718,1.0 $\pm$ 0.0
12,1.1875 $\pm$ 0.0,1.3003 $\pm$ 0.3514,1.2786 $\pm$ 0.4791,1.2663 $\pm$ 0.4523,7.8421 $\pm$ 0.0
13,10.7917 $\pm$ 0.0,10.646 $\pm$ 2.3289,9.8493 $\pm$ 2.4049,11.2744 $\pm$ 2.4114,26.0 $\pm$ 0.0
14,0.0349 $\pm$ 0.0,0.037 $\pm$ 0.0097,0.0373 $\pm$ 0.0142,0.0364 $\pm$ 0.013,0.3016 $\pm$ 0.0
31,0.0243 $\pm$ 0.0,0.0288 $\pm$ 0.0116,0.0693 $\pm$ 0.0115,0.0705 $\pm$ 0.0129,0.2397 $\pm$ 0.0
32,-1.4275 $\pm$ 0.0,-0.2905 $\pm$ 0.8121,0.4628 $\pm$ 0.2808,-0.0232 $\pm$ 0.761,1.61 $\pm$ 0.0
33,0.1625 $\pm$ 0.0,0.1742 $\pm$ 0.0448,0.2259 $\pm$ 0.0532,0.2304 $\pm$ 0.0522,1.0 $\pm$ 0.0
34,0.8278 $\pm$ 0.0,1.0179 $\pm$ 0.4346,2.3847 $\pm$ 0.3957,2.4528 $\pm$ 0.4895,6.2322 $\pm$ 0.0
35,2.1583 $\pm$ 0.0,2.7716 $\pm$ 0.8899,3.9312 $\pm$ 1.1489,3.7828 $\pm$ 1.0439,22.0886 $\pm$ 0.0
36,0.0847 $\pm$ 0.0,0.1022 $\pm$ 0.0314,0.1754 $\pm$ 0.0408,0.1707 $\pm$ 0.0391,1.0 $\pm$ 0.0
37,-0.0809 $\pm$ 0.0,-0.0106 $\pm$ 0.0506,0.1312 $\pm$ 0.0449,0.0801 $\pm$ 0.0611,1.0 $\pm$ 0.0
38,0.1625 $\pm$ 0.0,0.1742 $\pm$ 0.0448,0.2259 $\pm$ 0.0532,0.2304 $\pm$ 0.0522,1.0 $\pm$ 0.0
39,-0.0809 $\pm$ 0.0,-0.0106 $\pm$ 0.0506,0.1312 $\pm$ 0.0449,0.0801 $\pm$ 0.0611,1.0 $\pm$ 0.0
40,0.0527 $\pm$ 0.0,0.1147 $\pm$ 0.0716,0.1886 $\pm$ 0.043,0.1711 $\pm$ 0.0644,0.6276 $\pm$ 0.0
41,0.1679 $\pm$ 0.0,0.1804 $\pm$ 0.0455,0.2308 $\pm$ 0.0539,0.2335 $\pm$ 0.0523,1.0 $\pm$ 0.0
42,0.1679 $\pm$ 0.0,0.1804 $\pm$ 0.0455,0.2308 $\pm$ 0.0539,0.2335 $\pm$ 0.0523,1.0 $\pm$ 0.0
43,0.3358 $\pm$ 0.0,0.3608 $\pm$ 0.091,0.4616 $\pm$ 0.1079,0.4669 $\pm$ 0.1046,2.0 $\pm$ 0.0
44,0.4715 $\pm$ 0.0,0.6249 $\pm$ 0.2105,1.0135 $\pm$ 0.2164,0.9967 $\pm$ 0.238,3.8501 $\pm$ 0.0
45,0.2019 $\pm$ 0.0,0.2199 $\pm$ 0.0538,0.2591 $\pm$ 0.0618,0.255 $\pm$ 0.0561,1.0 $\pm$ 0.0
