Measurement,Base_to_1,Base_to_2,Base_to_4,Bast_to_8,Base_to_Base
1,0.0168 $\pm$ 0.0,0.0122 $\pm$ 0.0151,0.0349 $\pm$ 0.0363,0.0521 $\pm$ 0.0385,1.0 $\pm$ 0.0
2,0.0294 $\pm$ 0.0,0.0198 $\pm$ 0.0242,0.0508 $\pm$ 0.0488,0.0721 $\pm$ 0.0513,1.0 $\pm$ 0.0
3,0.0294 $\pm$ 0.0,0.0198 $\pm$ 0.0242,0.0508 $\pm$ 0.0488,0.0721 $\pm$ 0.0513,1.0 $\pm$ 0.0
4,0.0392 $\pm$ 0.0,0.0251 $\pm$ 0.0303,0.0605 $\pm$ 0.0556,0.0837 $\pm$ 0.0584,1.0 $\pm$ 0.0
5,0.0294 $\pm$ 0.0,0.0198 $\pm$ 0.0242,0.0508 $\pm$ 0.0488,0.0721 $\pm$ 0.0513,1.0 $\pm$ 0.0
6,0.009 $\pm$ 0.0,0.0069 $\pm$ 0.0087,0.0219 $\pm$ 0.0244,0.0342 $\pm$ 0.0263,1.0 $\pm$ 0.0
7,0.0735 $\pm$ 0.0,0.0654 $\pm$ 0.0479,0.1195 $\pm$ 0.0914,0.1326 $\pm$ 0.0728,1.0 $\pm$ 0.0
8,0.0905 $\pm$ 0.0,0.0783 $\pm$ 0.0573,0.1377 $\pm$ 0.1041,0.1492 $\pm$ 0.0807,1.0 $\pm$ 0.0
9,0.0535 $\pm$ 0.0,0.0493 $\pm$ 0.0363,0.0954 $\pm$ 0.0747,0.1098 $\pm$ 0.0619,1.0 $\pm$ 0.0
10,0.0404 $\pm$ 0.0,0.035 $\pm$ 0.026,0.0652 $\pm$ 0.05,0.0738 $\pm$ 0.0413,0.6094 $\pm$ 0.0
11,0.0905 $\pm$ 0.0,0.0783 $\pm$ 0.0573,0.1377 $\pm$ 0.1041,0.1492 $\pm$ 0.0807,1.0 $\pm$ 0.0
12,0.1176 $\pm$ 0.0,0.0818 $\pm$ 0.102,0.1899 $\pm$ 0.1865,0.2679 $\pm$ 0.1951,3.5 $\pm$ 0.0
13,1.1765 $\pm$ 0.0,1.1405 $\pm$ 0.8496,2.1003 $\pm$ 1.6569,2.3643 $\pm$ 1.2995,16.0 $\pm$ 0.0
14,0.0074 $\pm$ 0.0,0.0047 $\pm$ 0.0058,0.0109 $\pm$ 0.0105,0.015 $\pm$ 0.0108,0.2188 $\pm$ 0.0
31,0.0074 $\pm$ 0.0,0.005 $\pm$ 0.0061,0.0141 $\pm$ 0.0131,0.0198 $\pm$ 0.0138,0.3 $\pm$ 0.0
32,0.0 $\pm$ 0.0,-0.7978 $\pm$ 1.0393,-1.008 $\pm$ 1.4654,-0.6322 $\pm$ 1.0257,1.5419 $\pm$ 0.0
33,0.0294 $\pm$ 0.0,0.02 $\pm$ 0.0244,0.0513 $\pm$ 0.049,0.0725 $\pm$ 0.0515,1.0 $\pm$ 0.0
34,0.1176 $\pm$ 0.0,0.0879 $\pm$ 0.1077,0.2448 $\pm$ 0.2332,0.3528 $\pm$ 0.2487,4.8 $\pm$ 0.0
35,0.0294 $\pm$ 0.0,0.078 $\pm$ 0.0849,0.2926 $\pm$ 0.3846,0.4867 $\pm$ 0.4156,11.5833 $\pm$ 0.0
36,0.0074 $\pm$ 0.0,0.0075 $\pm$ 0.0099,0.0272 $\pm$ 0.0322,0.0435 $\pm$ 0.0346,1.0 $\pm$ 0.0
37,-0.0588 $\pm$ 0.0,-0.0576 $\pm$ 0.0561,-0.0602 $\pm$ 0.0763,-0.0268 $\pm$ 0.0588,1.0 $\pm$ 0.0
38,0.0294 $\pm$ 0.0,0.02 $\pm$ 0.0244,0.0513 $\pm$ 0.049,0.0725 $\pm$ 0.0515,1.0 $\pm$ 0.0
39,-0.0588 $\pm$ 0.0,-0.0576 $\pm$ 0.0561,-0.0602 $\pm$ 0.0763,-0.0268 $\pm$ 0.0588,1.0 $\pm$ 0.0
40,0.0 $\pm$ 0.0,-0.0298 $\pm$ 0.0598,-0.0164 $\pm$ 0.0732,0.0185 $\pm$ 0.0689,0.643 $\pm$ 0.0
41,0.0294 $\pm$ 0.0,0.0202 $\pm$ 0.0247,0.0519 $\pm$ 0.0492,0.0728 $\pm$ 0.0517,1.0 $\pm$ 0.0
42,0.0294 $\pm$ 0.0,0.0202 $\pm$ 0.0247,0.0519 $\pm$ 0.0492,0.0728 $\pm$ 0.0517,1.0 $\pm$ 0.0
43,0.0588 $\pm$ 0.0,0.0405 $\pm$ 0.0493,0.1037 $\pm$ 0.0985,0.1456 $\pm$ 0.1033,2.0 $\pm$ 0.0
44,0.0 $\pm$ 0.0,-0.0031 $\pm$ 0.0708,0.0768 $\pm$ 0.1333,0.16 $\pm$ 0.1581,3.125 $\pm$ 0.0
