Measurement,Base_to_1,Base_to_2,Base_to_4,Bast_to_8,Base_to_Base
15,2.6 $\pm$ 0.0,2.1348 $\pm$ 0.5029,2.3399 $\pm$ 0.3594,1.9721 $\pm$ 0.4139,0.0 $\pm$ 0.0
16,1.4329 $\pm$ 0.0,1.3143 $\pm$ 0.1318,1.3735 $\pm$ 0.0941,1.273 $\pm$ 0.1098,0.0 $\pm$ 0.0
17,2.6 $\pm$ 0.0,2.1348 $\pm$ 0.5029,2.3399 $\pm$ 0.3594,1.9721 $\pm$ 0.4139,0.0 $\pm$ 0.0
18,2.6 $\pm$ 0.0,2.1348 $\pm$ 0.5029,2.3399 $\pm$ 0.3594,1.9721 $\pm$ 0.4139,0.0 $\pm$ 0.0
19,2.6 $\pm$ 0.0,2.1348 $\pm$ 0.5029,2.3399 $\pm$ 0.3594,1.9721 $\pm$ 0.4139,0.0 $\pm$ 0.0
20,0.846 $\pm$ 0.0,0.8073 $\pm$ 0.054,0.7543 $\pm$ 0.056,0.7907 $\pm$ 0.0771,0.0 $\pm$ 0.0
21,2.6 $\pm$ 0.0,2.1348 $\pm$ 0.5029,2.3399 $\pm$ 0.3594,1.9721 $\pm$ 0.4139,0.0 $\pm$ 0.0
22,2.6 $\pm$ 0.0,2.1348 $\pm$ 0.5029,2.3399 $\pm$ 0.3594,1.9721 $\pm$ 0.4139,0.0 $\pm$ 0.0
23,0.7687 $\pm$ 0.0,0.754 $\pm$ 0.0684,0.6911 $\pm$ 0.0651,0.7438 $\pm$ 0.0866,0.0 $\pm$ 0.0
24,0.7847 $\pm$ 0.0,0.7613 $\pm$ 0.0659,0.6987 $\pm$ 0.0648,0.749 $\pm$ 0.0872,0.0 $\pm$ 0.0
25,0.8401 $\pm$ 0.0,0.8027 $\pm$ 0.0557,0.7489 $\pm$ 0.0569,0.788 $\pm$ 0.0782,0.0 $\pm$ 0.0
26,0.7788 $\pm$ 0.0,0.7567 $\pm$ 0.068,0.6933 $\pm$ 0.0659,0.7462 $\pm$ 0.0884,0.0 $\pm$ 0.0
27,0.9333 $\pm$ 0.0,0.8578 $\pm$ 0.0479,0.8197 $\pm$ 0.054,0.8287 $\pm$ 0.0688,0.0 $\pm$ 0.0
28,0.9333 $\pm$ 0.0,0.8578 $\pm$ 0.0479,0.8197 $\pm$ 0.054,0.8287 $\pm$ 0.0688,0.0 $\pm$ 0.0
29,1.1797 $\pm$ 0.0,1.0725 $\pm$ 0.0557,1.087 $\pm$ 0.0457,1.0375 $\pm$ 0.0425,0.0 $\pm$ 0.0
30,1.0518 $\pm$ 0.0,0.974 $\pm$ 0.0359,0.9648 $\pm$ 0.0369,0.9469 $\pm$ 0.04,0.0 $\pm$ 0.0
62,1.0376 $\pm$ 0.0,0.8666 $\pm$ 0.0639,0.8242 $\pm$ 0.0723,0.83 $\pm$ 0.0909,0.0 $\pm$ 0.0
