Measurement,Base_to_1,Base_to_2,Base_to_4,Bast_to_8,Base_to_Base
1,0.0412 $\pm$ 0.0,0.1099 $\pm$ 0.0421,0.1394 $\pm$ 0.0467,0.1369 $\pm$ 0.0591,1.0 $\pm$ 0.0
2,0.0667 $\pm$ 0.0,0.1422 $\pm$ 0.0479,0.1803 $\pm$ 0.054,0.1713 $\pm$ 0.0688,1.0 $\pm$ 0.0
3,0.0667 $\pm$ 0.0,0.1422 $\pm$ 0.0479,0.1803 $\pm$ 0.054,0.1713 $\pm$ 0.0688,1.0 $\pm$ 0.0
4,0.0845 $\pm$ 0.0,0.1607 $\pm$ 0.0511,0.2039 $\pm$ 0.0579,0.1895 $\pm$ 0.0734,1.0 $\pm$ 0.0
5,0.0667 $\pm$ 0.0,0.1422 $\pm$ 0.0479,0.1803 $\pm$ 0.054,0.1713 $\pm$ 0.0688,1.0 $\pm$ 0.0
6,0.0235 $\pm$ 0.0,0.0793 $\pm$ 0.0354,0.1012 $\pm$ 0.039,0.1012 $\pm$ 0.0476,1.0 $\pm$ 0.0
7,0.154 $\pm$ 0.0,0.1927 $\pm$ 0.054,0.2457 $\pm$ 0.056,0.2093 $\pm$ 0.0771,1.0 $\pm$ 0.0
8,0.1924 $\pm$ 0.0,0.2204 $\pm$ 0.0608,0.2789 $\pm$ 0.0608,0.2341 $\pm$ 0.0825,1.0 $\pm$ 0.0
9,0.1102 $\pm$ 0.0,0.1577 $\pm$ 0.0465,0.203 $\pm$ 0.0497,0.1769 $\pm$ 0.0694,1.0 $\pm$ 0.0
10,0.0889 $\pm$ 0.0,0.1199 $\pm$ 0.0355,0.1505 $\pm$ 0.0372,0.1324 $\pm$ 0.0498,0.684 $\pm$ 0.0
11,0.1924 $\pm$ 0.0,0.2204 $\pm$ 0.0608,0.2789 $\pm$ 0.0608,0.2341 $\pm$ 0.0825,1.0 $\pm$ 0.0
12,0.4286 $\pm$ 0.0,0.9342 $\pm$ 0.3712,1.1325 $\pm$ 0.431,1.1081 $\pm$ 0.4654,5.8889 $\pm$ 0.0
13,2.7714 $\pm$ 0.0,3.8002 $\pm$ 1.0493,4.8674 $\pm$ 1.1371,4.175 $\pm$ 1.5501,16.0 $\pm$ 0.0
14,0.0238 $\pm$ 0.0,0.0474 $\pm$ 0.0194,0.0573 $\pm$ 0.0219,0.0556 $\pm$ 0.0233,0.3681 $\pm$ 0.0
31,0.0119 $\pm$ 0.0,0.0272 $\pm$ 0.0099,0.036 $\pm$ 0.0101,0.0334 $\pm$ 0.0135,0.2204 $\pm$ 0.0
32,-1.1244 $\pm$ 0.0,-0.1483 $\pm$ 0.5083,0.0798 $\pm$ 0.3606,0.0199 $\pm$ 0.4045,1.1466 $\pm$ 0.0
33,0.069 $\pm$ 0.0,0.1444 $\pm$ 0.0484,0.1831 $\pm$ 0.0544,0.1729 $\pm$ 0.0694,1.0 $\pm$ 0.0
34,0.2143 $\pm$ 0.0,0.5346 $\pm$ 0.1918,0.7125 $\pm$ 0.2032,0.6657 $\pm$ 0.2713,3.527 $\pm$ 0.0
35,0.3228 $\pm$ 0.0,1.4546 $\pm$ 0.6864,1.8162 $\pm$ 0.7673,1.9148 $\pm$ 0.9439,12.8259 $\pm$ 0.0
36,0.0262 $\pm$ 0.0,0.0981 $\pm$ 0.0425,0.1239 $\pm$ 0.0464,0.1262 $\pm$ 0.0584,1.0 $\pm$ 0.0
37,-0.1143 $\pm$ 0.0,0.03 $\pm$ 0.0577,0.042 $\pm$ 0.0591,0.0772 $\pm$ 0.0639,1.0 $\pm$ 0.0
38,0.069 $\pm$ 0.0,0.1444 $\pm$ 0.0484,0.1831 $\pm$ 0.0544,0.1729 $\pm$ 0.0694,1.0 $\pm$ 0.0
39,-0.1143 $\pm$ 0.0,0.03 $\pm$ 0.0577,0.042 $\pm$ 0.0591,0.0772 $\pm$ 0.0639,1.0 $\pm$ 0.0
40,-0.0504 $\pm$ 0.0,0.0514 $\pm$ 0.0364,0.0788 $\pm$ 0.0377,0.0749 $\pm$ 0.0481,0.4988 $\pm$ 0.0
41,0.0714 $\pm$ 0.0,0.1469 $\pm$ 0.0489,0.186 $\pm$ 0.0548,0.1745 $\pm$ 0.07,1.0 $\pm$ 0.0
42,0.0714 $\pm$ 0.0,0.1469 $\pm$ 0.0489,0.186 $\pm$ 0.0548,0.1745 $\pm$ 0.07,1.0 $\pm$ 0.0
43,0.1429 $\pm$ 0.0,0.2937 $\pm$ 0.0977,0.3721 $\pm$ 0.1096,0.349 $\pm$ 0.1401,2.0 $\pm$ 0.0
44,-0.0151 $\pm$ 0.0,0.2815 $\pm$ 0.1291,0.3804 $\pm$ 0.1399,0.3896 $\pm$ 0.2021,2.6111 $\pm$ 0.0
45,0.0857 $\pm$ 0.0,0.1662 $\pm$ 0.0553,0.2109 $\pm$ 0.0608,0.1912 $\pm$ 0.0755,1.0 $\pm$ 0.0
46,0.0571 $\pm$ 0.0,0.1277 $\pm$ 0.0439,0.1618 $\pm$ 0.0494,0.1579 $\pm$ 0.0652,1.0 $\pm$ 0.0
47,-0.7596 $\pm$ 0.0,-0.7823 $\pm$ 0.2557,-0.9344 $\pm$ 0.2357,-0.7688 $\pm$ 0.2725,-1.7778 $\pm$ 0.0
48,-0.0049 $\pm$ 0.0,0.108 $\pm$ 0.0554,0.1452 $\pm$ 0.0621,0.1429 $\pm$ 0.0723,1.0 $\pm$ 0.0
49,0.1329 $\pm$ 0.0,0.1753 $\pm$ 0.0506,0.2265 $\pm$ 0.053,0.1957 $\pm$ 0.0731,1.0 $\pm$ 0.0
50,0.0484 $\pm$ 0.0,0.0533 $\pm$ 0.016,0.0697 $\pm$ 0.0154,0.0574 $\pm$ 0.0211,0.3199 $\pm$ 0.0
51,0.0982 $\pm$ 0.0,1.3188 $\pm$ 0.7491,1.7291 $\pm$ 0.7745,1.8353 $\pm$ 1.0297,16.0 $\pm$ 0.0
52,0.0345 $\pm$ 0.0,0.0901 $\pm$ 0.0357,0.1137 $\pm$ 0.0368,0.1133 $\pm$ 0.0509,0.7071 $\pm$ 0.0
53,0.0218 $\pm$ 0.0,0.0337 $\pm$ 0.0118,0.0419 $\pm$ 0.0121,0.0401 $\pm$ 0.0161,0.2425 $\pm$ 0.0
54,-0.0017 $\pm$ 0.0,0.0957 $\pm$ 0.0456,0.125 $\pm$ 0.0495,0.1278 $\pm$ 0.0662,1.0 $\pm$ 0.0
55,-0.0417 $\pm$ 0.0,0.1225 $\pm$ 0.061,0.164 $\pm$ 0.0683,0.1605 $\pm$ 0.0868,1.0 $\pm$ 0.0
56,0.3918 $\pm$ 0.0,1.4641 $\pm$ 0.8893,2.0424 $\pm$ 0.912,1.9473 $\pm$ 1.1013,16000000000.0 $\pm$ 0.0
57,0.0459 $\pm$ 0.0,0.1221 $\pm$ 0.0438,0.1568 $\pm$ 0.0485,0.1496 $\pm$ 0.0643,1.0 $\pm$ 0.0
58,-0.0026 $\pm$ 0.0,0.2071 $\pm$ 0.1254,0.2807 $\pm$ 0.1361,0.2823 $\pm$ 0.1639,76996071729.2018 $\pm$ 0.0
59,0.1014 $\pm$ 0.0,0.1425 $\pm$ 0.0686,0.2119 $\pm$ 0.0656,0.1705 $\pm$ 0.0656,1.0383 $\pm$ 0.0
60,0.0459 $\pm$ 0.0,0.1221 $\pm$ 0.0438,0.1568 $\pm$ 0.0485,0.1496 $\pm$ 0.0643,1.0 $\pm$ 0.0
61,-0.0376 $\pm$ 0.0,0.1334 $\pm$ 0.0639,0.1758 $\pm$ 0.0723,0.17 $\pm$ 0.0909,1.0 $\pm$ 0.0
63,-0.0473 $\pm$ 0.0,0.0982 $\pm$ 0.0554,0.1372 $\pm$ 0.0613,0.135 $\pm$ 0.0743,1.0 $\pm$ 0.0
64,0.0551 $\pm$ 0.0,0.3773 $\pm$ 0.3115,0.5222 $\pm$ 0.357,0.4884 $\pm$ 0.3623,5888888888.8889 $\pm$ 0.0
65,0.0412 $\pm$ 0.0,0.1099 $\pm$ 0.0421,0.1394 $\pm$ 0.0467,0.1369 $\pm$ 0.0591,1.0 $\pm$ 0.0
