Measurement,Base_to_1,Base_to_2,Base_to_4,Bast_to_8,Base_to_Base
15,3.3333 $\pm$ 0.0,2.4698 $\pm$ 0.7835,2.0135 $\pm$ 0.7275,1.726 $\pm$ 0.5345,0.0 $\pm$ 0.0
16,1.6402 $\pm$ 0.0,1.3984 $\pm$ 0.2056,1.2329 $\pm$ 0.2134,1.0722 $\pm$ 0.1827,0.0 $\pm$ 0.0
17,3.3333 $\pm$ 0.0,2.4698 $\pm$ 0.7835,2.0135 $\pm$ 0.7275,1.726 $\pm$ 0.5345,0.0 $\pm$ 0.0
18,3.3333 $\pm$ 0.0,2.4698 $\pm$ 0.7835,2.0135 $\pm$ 0.7275,1.726 $\pm$ 0.5345,0.0 $\pm$ 0.0
19,3.3333 $\pm$ 0.0,2.4698 $\pm$ 0.7835,2.0135 $\pm$ 0.7275,1.726 $\pm$ 0.5345,0.0 $\pm$ 0.0
20,0.6976 $\pm$ 0.0,0.8185 $\pm$ 0.0884,0.7377 $\pm$ 0.0716,0.6792 $\pm$ 0.0605,0.0 $\pm$ 0.0
21,3.3333 $\pm$ 0.0,2.4698 $\pm$ 0.7835,2.0135 $\pm$ 0.7275,1.726 $\pm$ 0.5345,0.0 $\pm$ 0.0
22,3.3333 $\pm$ 0.0,2.4698 $\pm$ 0.7835,2.0135 $\pm$ 0.7275,1.726 $\pm$ 0.5345,0.0 $\pm$ 0.0
23,0.6244 $\pm$ 0.0,0.7727 $\pm$ 0.1123,0.7005 $\pm$ 0.0904,0.6445 $\pm$ 0.0685,0.0 $\pm$ 0.0
24,0.6247 $\pm$ 0.0,0.7736 $\pm$ 0.1113,0.7006 $\pm$ 0.0902,0.6457 $\pm$ 0.0677,0.0 $\pm$ 0.0
25,0.6969 $\pm$ 0.0,0.8162 $\pm$ 0.0893,0.7359 $\pm$ 0.0726,0.6754 $\pm$ 0.0604,0.0 $\pm$ 0.0
26,0.624 $\pm$ 0.0,0.7713 $\pm$ 0.1122,0.6987 $\pm$ 0.0913,0.6418 $\pm$ 0.0682,0.0 $\pm$ 0.0
27,0.9465 $\pm$ 0.0,0.9222 $\pm$ 0.0439,0.8152 $\pm$ 0.0475,0.723 $\pm$ 0.0651,0.0 $\pm$ 0.0
28,0.9465 $\pm$ 0.0,0.9222 $\pm$ 0.0439,0.8152 $\pm$ 0.0475,0.723 $\pm$ 0.0651,0.0 $\pm$ 0.0
29,1.3408 $\pm$ 0.0,1.1519 $\pm$ 0.0873,1.0276 $\pm$ 0.1109,0.8806 $\pm$ 0.0976,0.0 $\pm$ 0.0
30,1.1238 $\pm$ 0.0,1.0364 $\pm$ 0.0323,0.9282 $\pm$ 0.0631,0.8081 $\pm$ 0.0747,0.0 $\pm$ 0.0
62,1.1105 $\pm$ 0.0,0.9091 $\pm$ 0.0888,0.7711 $\pm$ 0.0653,0.6852 $\pm$ 0.0608,0.0 $\pm$ 0.0
