Measurement,Base_to_1,Base_to_2,Base_to_4,Bast_to_8,Base_to_Base
1,0.0306 $\pm$ 0.0,0.0486 $\pm$ 0.0295,0.1502 $\pm$ 0.0439,0.2485 $\pm$ 0.0655,1.0 $\pm$ 0.0
2,0.0535 $\pm$ 0.0,0.0778 $\pm$ 0.0439,0.1848 $\pm$ 0.0475,0.277 $\pm$ 0.0651,1.0 $\pm$ 0.0
3,0.0535 $\pm$ 0.0,0.0778 $\pm$ 0.0439,0.1848 $\pm$ 0.0475,0.277 $\pm$ 0.0651,1.0 $\pm$ 0.0
4,0.0714 $\pm$ 0.0,0.098 $\pm$ 0.053,0.2061 $\pm$ 0.0518,0.294 $\pm$ 0.0655,1.0 $\pm$ 0.0
5,0.0535 $\pm$ 0.0,0.0778 $\pm$ 0.0439,0.1848 $\pm$ 0.0475,0.277 $\pm$ 0.0651,1.0 $\pm$ 0.0
6,0.0165 $\pm$ 0.0,0.028 $\pm$ 0.0182,0.1221 $\pm$ 0.0443,0.2251 $\pm$ 0.0669,1.0 $\pm$ 0.0
7,0.3024 $\pm$ 0.0,0.1815 $\pm$ 0.0884,0.2623 $\pm$ 0.0716,0.3208 $\pm$ 0.0605,1.0 $\pm$ 0.0
8,0.3441 $\pm$ 0.0,0.2073 $\pm$ 0.1016,0.2834 $\pm$ 0.082,0.3401 $\pm$ 0.0643,1.0 $\pm$ 0.0
9,0.244 $\pm$ 0.0,0.1458 $\pm$ 0.0707,0.2321 $\pm$ 0.058,0.2942 $\pm$ 0.0578,1.0 $\pm$ 0.0
10,0.1536 $\pm$ 0.0,0.0984 $\pm$ 0.0481,0.1445 $\pm$ 0.0403,0.1812 $\pm$ 0.0374,0.6538 $\pm$ 0.0
11,0.3441 $\pm$ 0.0,0.2073 $\pm$ 0.1016,0.2834 $\pm$ 0.082,0.3401 $\pm$ 0.0643,1.0 $\pm$ 0.0
12,0.2333 $\pm$ 0.0,0.4715 $\pm$ 0.3191,0.7483 $\pm$ 0.3539,1.009 $\pm$ 0.4185,6.7692 $\pm$ 0.0
13,8.4667 $\pm$ 0.0,5.1422 $\pm$ 2.45,6.9926 $\pm$ 1.9093,7.7554 $\pm$ 1.8797,22.0 $\pm$ 0.0
14,0.0083 $\pm$ 0.0,0.0168 $\pm$ 0.0117,0.0284 $\pm$ 0.0139,0.042 $\pm$ 0.0172,0.3077 $\pm$ 0.0
31,0.0139 $\pm$ 0.0,0.0148 $\pm$ 0.0073,0.084 $\pm$ 0.0313,0.128 $\pm$ 0.0165,0.2866 $\pm$ 0.0
32,-3.2471 $\pm$ 0.0,-0.2252 $\pm$ 1.0529,0.4318 $\pm$ 0.1093,0.6028 $\pm$ 0.1241,1.6766 $\pm$ 0.0
