Measurement,Base_to_1,Base_to_2,Base_to_4,Bast_to_8,Base_to_Base
15,2.9 $\pm$ 0.0,1.5428 $\pm$ 0.5347,1.4256 $\pm$ 0.4055,1.5593 $\pm$ 0.4699,0.0 $\pm$ 0.0
16,1.5514 $\pm$ 0.0,1.1509 $\pm$ 0.153,1.0929 $\pm$ 0.1157,1.0855 $\pm$ 0.1501,0.0 $\pm$ 0.0
17,2.9 $\pm$ 0.0,1.5428 $\pm$ 0.5347,1.4256 $\pm$ 0.4055,1.5593 $\pm$ 0.4699,0.0 $\pm$ 0.0
18,2.9 $\pm$ 0.0,1.5428 $\pm$ 0.5347,1.4256 $\pm$ 0.4055,1.5593 $\pm$ 0.4699,0.0 $\pm$ 0.0
19,2.9 $\pm$ 0.0,1.5428 $\pm$ 0.5347,1.4256 $\pm$ 0.4055,1.5593 $\pm$ 0.4699,0.0 $\pm$ 0.0
20,0.7438 $\pm$ 0.0,0.8868 $\pm$ 0.0807,0.8639 $\pm$ 0.0943,0.7234 $\pm$ 0.1528,0.0 $\pm$ 0.0
21,2.9 $\pm$ 0.0,1.5428 $\pm$ 0.5347,1.4256 $\pm$ 0.4055,1.5593 $\pm$ 0.4699,0.0 $\pm$ 0.0
22,2.9 $\pm$ 0.0,1.5428 $\pm$ 0.5347,1.4256 $\pm$ 0.4055,1.5593 $\pm$ 0.4699,0.0 $\pm$ 0.0
23,0.6359 $\pm$ 0.0,0.854 $\pm$ 0.107,0.8384 $\pm$ 0.1117,0.685 $\pm$ 0.1708,0.0 $\pm$ 0.0
24,0.6551 $\pm$ 0.0,0.8588 $\pm$ 0.1022,0.8407 $\pm$ 0.1099,0.6882 $\pm$ 0.1682,0.0 $\pm$ 0.0
25,0.7434 $\pm$ 0.0,0.8864 $\pm$ 0.081,0.8635 $\pm$ 0.0945,0.723 $\pm$ 0.153,0.0 $\pm$ 0.0
26,0.6547 $\pm$ 0.0,0.8584 $\pm$ 0.1024,0.8404 $\pm$ 0.1101,0.6877 $\pm$ 0.1685,0.0 $\pm$ 0.0
27,0.8964 $\pm$ 0.0,0.9418 $\pm$ 0.047,0.912 $\pm$ 0.0672,0.7982 $\pm$ 0.1274,0.0 $\pm$ 0.0
28,0.8964 $\pm$ 0.0,0.9418 $\pm$ 0.047,0.912 $\pm$ 0.0672,0.7982 $\pm$ 0.1274,0.0 $\pm$ 0.0
29,1.2833 $\pm$ 0.0,1.0736 $\pm$ 0.0945,1.0247 $\pm$ 0.0746,0.9832 $\pm$ 0.1179,0.0 $\pm$ 0.0
30,1.0832 $\pm$ 0.0,1.006 $\pm$ 0.048,0.9677 $\pm$ 0.0534,0.8921 $\pm$ 0.1109,0.0 $\pm$ 0.0
62,1.0083 $\pm$ 0.0,0.9906 $\pm$ 0.0967,0.9336 $\pm$ 0.0809,0.8248 $\pm$ 0.1435,0.0 $\pm$ 0.0
