Measurement,Base_to_1,Base_to_2,Base_to_4,Bast_to_8,Base_to_Base
1,0.0845 $\pm$ 0.0,0.192 $\pm$ 0.0432,0.2468 $\pm$ 0.0631,0.5191 $\pm$ 0.1783,1.0 $\pm$ 0.0
2,0.1475 $\pm$ 0.0,0.2924 $\pm$ 0.0501,0.3538 $\pm$ 0.0611,0.5612 $\pm$ 0.1482,1.0 $\pm$ 0.0
3,0.1475 $\pm$ 0.0,0.2924 $\pm$ 0.0501,0.3538 $\pm$ 0.0611,0.5612 $\pm$ 0.1482,1.0 $\pm$ 0.0
4,0.1964 $\pm$ 0.0,0.3561 $\pm$ 0.0505,0.4175 $\pm$ 0.0562,0.5886 $\pm$ 0.1287,1.0 $\pm$ 0.0
5,0.1475 $\pm$ 0.0,0.2924 $\pm$ 0.0501,0.3538 $\pm$ 0.0611,0.5612 $\pm$ 0.1482,1.0 $\pm$ 0.0
6,0.0456 $\pm$ 0.0,0.1147 $\pm$ 0.0312,0.1566 $\pm$ 0.0551,0.4871 $\pm$ 0.2027,1.0 $\pm$ 0.0
7,0.5478 $\pm$ 0.0,0.6703 $\pm$ 0.0358,0.6889 $\pm$ 0.0318,0.7146 $\pm$ 0.022,1.0 $\pm$ 0.0
8,0.569 $\pm$ 0.0,0.6943 $\pm$ 0.0389,0.7167 $\pm$ 0.0344,0.7313 $\pm$ 0.0258,1.0 $\pm$ 0.0
9,0.5114 $\pm$ 0.0,0.6293 $\pm$ 0.0311,0.6425 $\pm$ 0.0286,0.6879 $\pm$ 0.0219,1.0 $\pm$ 0.0
10,0.276 $\pm$ 0.0,0.3397 $\pm$ 0.0184,0.3538 $\pm$ 0.0165,0.3734 $\pm$ 0.0126,0.609 $\pm$ 0.0
11,0.569 $\pm$ 0.0,0.6943 $\pm$ 0.0389,0.7167 $\pm$ 0.0344,0.7313 $\pm$ 0.0258,1.0 $\pm$ 0.0
12,1.3023 $\pm$ 0.0,2.6829 $\pm$ 0.8366,3.3783 $\pm$ 0.773,4.2971 $\pm$ 0.9741,15.6957 $\pm$ 0.0
13,55.8721 $\pm$ 0.0,70.4987 $\pm$ 6.5415,62.1292 $\pm$ 5.9497,62.1962 $\pm$ 6.0643,72.0 $\pm$ 0.0
14,0.0128 $\pm$ 0.0,0.0261 $\pm$ 0.01,0.0379 $\pm$ 0.0101,0.0504 $\pm$ 0.014,0.218 $\pm$ 0.0
31,0.0257 $\pm$ 0.0,0.0513 $\pm$ 0.0079,0.0673 $\pm$ 0.0149,0.1797 $\pm$ 0.0798,0.3105 $\pm$ 0.0
32,0.8502 $\pm$ 0.0,0.5933 $\pm$ 0.615,0.8251 $\pm$ 0.4141,1.7595 $\pm$ 0.7282,2.7794 $\pm$ 0.0
33,0.1531 $\pm$ 0.0,0.302 $\pm$ 0.048,0.3629 $\pm$ 0.0573,0.5643 $\pm$ 0.1454,1.0 $\pm$ 0.0
