Measurement,Base_to_1,Base_to_2,Base_to_4,Bast_to_8,Base_to_Base
15,4.25 $\pm$ 0.0,3.3027 $\pm$ 0.8629,3.3415 $\pm$ 0.7542,3.3028 $\pm$ 0.7362,0.0 $\pm$ 0.0
16,1.9588 $\pm$ 0.0,1.5483 $\pm$ 0.1882,1.5753 $\pm$ 0.1689,1.5543 $\pm$ 0.1552,0.0 $\pm$ 0.0
17,4.25 $\pm$ 0.0,3.3027 $\pm$ 0.8629,3.3415 $\pm$ 0.7542,3.3028 $\pm$ 0.7362,0.0 $\pm$ 0.0
18,4.25 $\pm$ 0.0,3.3027 $\pm$ 0.8629,3.3415 $\pm$ 0.7542,3.3028 $\pm$ 0.7362,0.0 $\pm$ 0.0
19,4.25 $\pm$ 0.0,3.3027 $\pm$ 0.8629,3.3415 $\pm$ 0.7542,3.3028 $\pm$ 0.7362,0.0 $\pm$ 0.0
20,0.0966 $\pm$ 0.0,0.7589 $\pm$ 0.0634,0.7265 $\pm$ 0.0712,0.7358 $\pm$ 0.0639,0.0 $\pm$ 0.0
21,4.25 $\pm$ 0.0,3.3027 $\pm$ 0.8629,3.3415 $\pm$ 0.7542,3.3028 $\pm$ 0.7362,0.0 $\pm$ 0.0
22,4.25 $\pm$ 0.0,3.3027 $\pm$ 0.8629,3.3415 $\pm$ 0.7542,3.3028 $\pm$ 0.7362,0.0 $\pm$ 0.0
23,0.0241 $\pm$ 0.0,0.7233 $\pm$ 0.0744,0.6905 $\pm$ 0.0796,0.7005 $\pm$ 0.0718,0.0 $\pm$ 0.0
24,0.0108 $\pm$ 0.0,0.721 $\pm$ 0.0748,0.6873 $\pm$ 0.0804,0.6978 $\pm$ 0.0723,0.0 $\pm$ 0.0
25,0.0966 $\pm$ 0.0,0.7556 $\pm$ 0.0647,0.7237 $\pm$ 0.0717,0.733 $\pm$ 0.064,0.0 $\pm$ 0.0
26,0.0108 $\pm$ 0.0,0.7177 $\pm$ 0.0761,0.6843 $\pm$ 0.0811,0.6949 $\pm$ 0.0725,0.0 $\pm$ 0.0
27,0.3075 $\pm$ 0.0,0.8842 $\pm$ 0.0308,0.8618 $\pm$ 0.0462,0.8677 $\pm$ 0.0438,0.0 $\pm$ 0.0
28,0.3075 $\pm$ 0.0,0.8842 $\pm$ 0.0308,0.8618 $\pm$ 0.0462,0.8677 $\pm$ 0.0438,0.0 $\pm$ 0.0
29,1.0449 $\pm$ 0.0,1.1446 $\pm$ 0.0507,1.1488 $\pm$ 0.0517,1.143 $\pm$ 0.0397,0.0 $\pm$ 0.0
30,0.7389 $\pm$ 0.0,1.0178 $\pm$ 0.0179,1.011 $\pm$ 0.0274,1.01 $\pm$ 0.0218,0.0 $\pm$ 0.0
62,0.0672 $\pm$ 0.0,0.8104 $\pm$ 0.0515,0.7594 $\pm$ 0.0677,0.7924 $\pm$ 0.0723,0.0 $\pm$ 0.0
