Measurement,Base_to_1,Base_to_2,Base_to_4,Bast_to_8,Base_to_Base
15,5.3333 $\pm$ 0.0,3.7324 $\pm$ 0.8477,3.3898 $\pm$ 0.8301,3.1004 $\pm$ 0.8699,0.0 $\pm$ 0.0
16,2.2932 $\pm$ 0.0,1.6283 $\pm$ 0.1875,1.569 $\pm$ 0.1932,1.5065 $\pm$ 0.2012,0.0 $\pm$ 0.0
17,5.3333 $\pm$ 0.0,3.7324 $\pm$ 0.8477,3.3898 $\pm$ 0.8301,3.1004 $\pm$ 0.8699,0.0 $\pm$ 0.0
18,5.3333 $\pm$ 0.0,3.7324 $\pm$ 0.8477,3.3898 $\pm$ 0.8301,3.1004 $\pm$ 0.8699,0.0 $\pm$ 0.0
19,5.3333 $\pm$ 0.0,3.7324 $\pm$ 0.8477,3.3898 $\pm$ 0.8301,3.1004 $\pm$ 0.8699,0.0 $\pm$ 0.0
20,0.1212 $\pm$ 0.0,0.7699 $\pm$ 0.0685,0.773 $\pm$ 0.08,0.8003 $\pm$ 0.0758,0.0 $\pm$ 0.0
21,5.3333 $\pm$ 0.0,3.7324 $\pm$ 0.8477,3.3898 $\pm$ 0.8301,3.1004 $\pm$ 0.8699,0.0 $\pm$ 0.0
22,5.3333 $\pm$ 0.0,3.7324 $\pm$ 0.8477,3.3898 $\pm$ 0.8301,3.1004 $\pm$ 0.8699,0.0 $\pm$ 0.0
23,0.0303 $\pm$ 0.0,0.7223 $\pm$ 0.0801,0.7302 $\pm$ 0.0934,0.7626 $\pm$ 0.0893,0.0 $\pm$ 0.0
24,0.0153 $\pm$ 0.0,0.7219 $\pm$ 0.0805,0.7289 $\pm$ 0.094,0.761 $\pm$ 0.09,0.0 $\pm$ 0.0
25,0.1212 $\pm$ 0.0,0.7675 $\pm$ 0.0684,0.7702 $\pm$ 0.0808,0.797 $\pm$ 0.0765,0.0 $\pm$ 0.0
26,0.0153 $\pm$ 0.0,0.7191 $\pm$ 0.0806,0.7259 $\pm$ 0.0949,0.7575 $\pm$ 0.091,0.0 $\pm$ 0.0
27,0.3442 $\pm$ 0.0,0.8862 $\pm$ 0.0425,0.8841 $\pm$ 0.0435,0.892 $\pm$ 0.0447,0.0 $\pm$ 0.0
28,0.3442 $\pm$ 0.0,0.8862 $\pm$ 0.0425,0.8841 $\pm$ 0.0435,0.892 $\pm$ 0.0447,0.0 $\pm$ 0.0
29,1.1333 $\pm$ 0.0,1.1576 $\pm$ 0.0446,1.1439 $\pm$ 0.0565,1.1177 $\pm$ 0.0586,0.0 $\pm$ 0.0
30,0.8014 $\pm$ 0.0,1.0254 $\pm$ 0.0171,1.0186 $\pm$ 0.019,1.01 $\pm$ 0.0245,0.0 $\pm$ 0.0
62,0.2561 $\pm$ 0.0,0.8365 $\pm$ 0.081,0.8356 $\pm$ 0.0724,0.8499 $\pm$ 0.0725,0.0 $\pm$ 0.0
