Measurement,Base_to_1,Base_to_2,Base_to_4,Bast_to_8,Base_to_Base
15,5.8571 $\pm$ 0.0,1.8057 $\pm$ 0.5007,1.2906 $\pm$ 0.4294,1.5693 $\pm$ 0.5035,0.0 $\pm$ 0.0
16,2.3925 $\pm$ 0.0,1.2134 $\pm$ 0.1344,1.0555 $\pm$ 0.151,1.1268 $\pm$ 0.1508,0.0 $\pm$ 0.0
17,5.8571 $\pm$ 0.0,1.8057 $\pm$ 0.5007,1.2906 $\pm$ 0.4294,1.5693 $\pm$ 0.5035,0.0 $\pm$ 0.0
18,5.8571 $\pm$ 0.0,1.8057 $\pm$ 0.5007,1.2906 $\pm$ 0.4294,1.5693 $\pm$ 0.5035,0.0 $\pm$ 0.0
19,5.8571 $\pm$ 0.0,1.8057 $\pm$ 0.5007,1.2906 $\pm$ 0.4294,1.5693 $\pm$ 0.5035,0.0 $\pm$ 0.0
20,0.1952 $\pm$ 0.0,0.7501 $\pm$ 0.0759,0.7849 $\pm$ 0.0618,0.764 $\pm$ 0.0631,0.0 $\pm$ 0.0
21,5.8571 $\pm$ 0.0,1.8057 $\pm$ 0.5007,1.2906 $\pm$ 0.4294,1.5693 $\pm$ 0.5035,0.0 $\pm$ 0.0
22,5.8571 $\pm$ 0.0,1.8057 $\pm$ 0.5007,1.2906 $\pm$ 0.4294,1.5693 $\pm$ 0.5035,0.0 $\pm$ 0.0
23,0.0488 $\pm$ 0.0,0.725 $\pm$ 0.0876,0.7717 $\pm$ 0.0732,0.7432 $\pm$ 0.0722,0.0 $\pm$ 0.0
24,0.041 $\pm$ 0.0,0.7238 $\pm$ 0.0885,0.7701 $\pm$ 0.074,0.7421 $\pm$ 0.0725,0.0 $\pm$ 0.0
25,0.1952 $\pm$ 0.0,0.7496 $\pm$ 0.076,0.7843 $\pm$ 0.062,0.7618 $\pm$ 0.0639,0.0 $\pm$ 0.0
26,0.041 $\pm$ 0.0,0.7233 $\pm$ 0.0888,0.7693 $\pm$ 0.0746,0.7399 $\pm$ 0.0735,0.0 $\pm$ 0.0
27,0.496 $\pm$ 0.0,0.83 $\pm$ 0.0477,0.8244 $\pm$ 0.0418,0.8133 $\pm$ 0.0522,0.0 $\pm$ 0.0
28,0.496 $\pm$ 0.0,0.83 $\pm$ 0.0477,0.8244 $\pm$ 0.0418,0.8133 $\pm$ 0.0522,0.0 $\pm$ 0.0
29,1.3766 $\pm$ 0.0,1.0508 $\pm$ 0.0538,0.9593 $\pm$ 0.0793,0.9673 $\pm$ 0.0747,0.0 $\pm$ 0.0
30,0.9734 $\pm$ 0.0,0.9529 $\pm$ 0.0262,0.903 $\pm$ 0.0481,0.8996 $\pm$ 0.0565,0.0 $\pm$ 0.0
62,0.4944 $\pm$ 0.0,0.7961 $\pm$ 0.0635,0.7948 $\pm$ 0.0578,0.801 $\pm$ 0.0734,0.0 $\pm$ 0.0
