Measurement,Base_to_1,Base_to_2,Base_to_4,Bast_to_8,Base_to_Base
1,0.3645 $\pm$ 0.0,0.1336 $\pm$ 0.037,0.1522 $\pm$ 0.0379,0.1647 $\pm$ 0.0512,1.0 $\pm$ 0.0
2,0.504 $\pm$ 0.0,0.17 $\pm$ 0.0477,0.1756 $\pm$ 0.0418,0.1867 $\pm$ 0.0522,1.0 $\pm$ 0.0
3,0.504 $\pm$ 0.0,0.17 $\pm$ 0.0477,0.1756 $\pm$ 0.0418,0.1867 $\pm$ 0.0522,1.0 $\pm$ 0.0
4,0.5797 $\pm$ 0.0,0.1892 $\pm$ 0.0537,0.1869 $\pm$ 0.0462,0.1977 $\pm$ 0.0545,1.0 $\pm$ 0.0
5,0.504 $\pm$ 0.0,0.17 $\pm$ 0.0477,0.1756 $\pm$ 0.0418,0.1867 $\pm$ 0.0522,1.0 $\pm$ 0.0
6,0.236 $\pm$ 0.0,0.0961 $\pm$ 0.0268,0.1258 $\pm$ 0.0411,0.14 $\pm$ 0.054,1.0 $\pm$ 0.0
7,0.8048 $\pm$ 0.0,0.2499 $\pm$ 0.0759,0.2151 $\pm$ 0.0618,0.236 $\pm$ 0.0631,1.0 $\pm$ 0.0
8,0.8909 $\pm$ 0.0,0.2646 $\pm$ 0.0828,0.2231 $\pm$ 0.0685,0.2482 $\pm$ 0.0682,1.0 $\pm$ 0.0
9,0.6768 $\pm$ 0.0,0.228 $\pm$ 0.0656,0.2023 $\pm$ 0.0519,0.2176 $\pm$ 0.0563,1.0 $\pm$ 0.0
10,0.4679 $\pm$ 0.0,0.1339 $\pm$ 0.0428,0.1246 $\pm$ 0.0361,0.1408 $\pm$ 0.0401,0.6518 $\pm$ 0.0
11,0.8909 $\pm$ 0.0,0.2646 $\pm$ 0.0828,0.2231 $\pm$ 0.0685,0.2482 $\pm$ 0.0682,1.0 $\pm$ 0.0
12,4.2143 $\pm$ 0.0,0.7021 $\pm$ 0.467,1.0564 $\pm$ 0.5913,1.3669 $\pm$ 0.5935,7.2857 $\pm$ 0.0
13,24.1429 $\pm$ 0.0,8.2381 $\pm$ 2.2874,6.3705 $\pm$ 2.0112,7.0126 $\pm$ 2.0297,24.0 $\pm$ 0.0
14,0.1405 $\pm$ 0.0,0.0215 $\pm$ 0.0154,0.0358 $\pm$ 0.0199,0.0468 $\pm$ 0.0215,0.3036 $\pm$ 0.0
31,0.0664 $\pm$ 0.0,0.0594 $\pm$ 0.012,0.0599 $\pm$ 0.008,0.0544 $\pm$ 0.0197,0.2986 $\pm$ 0.0
32,-1.9281 $\pm$ 0.0,0.1814 $\pm$ 0.5463,0.2972 $\pm$ 0.3995,-0.0047 $\pm$ 0.6938,1.7908 $\pm$ 0.0
33,0.504 $\pm$ 0.0,0.1738 $\pm$ 0.0487,0.178 $\pm$ 0.042,0.1892 $\pm$ 0.0523,1.0 $\pm$ 0.0
34,1.9924 $\pm$ 0.0,1.9692 $\pm$ 0.3833,1.7644 $\pm$ 0.2593,1.5988 $\pm$ 0.5531,7.1667 $\pm$ 0.0
35,8.1122 $\pm$ 0.0,2.5489 $\pm$ 1.0406,3.3276 $\pm$ 1.3957,3.824 $\pm$ 1.4262,19.7014 $\pm$ 0.0
36,0.3083 $\pm$ 0.0,0.1252 $\pm$ 0.035,0.1485 $\pm$ 0.0362,0.1602 $\pm$ 0.0502,1.0 $\pm$ 0.0
37,0.0079 $\pm$ 0.0,0.0722 $\pm$ 0.0494,0.1286 $\pm$ 0.0449,0.1205 $\pm$ 0.06,1.0 $\pm$ 0.0
38,0.504 $\pm$ 0.0,0.1738 $\pm$ 0.0487,0.178 $\pm$ 0.042,0.1892 $\pm$ 0.0523,1.0 $\pm$ 0.0
39,0.0079 $\pm$ 0.0,0.0722 $\pm$ 0.0494,0.1286 $\pm$ 0.0449,0.1205 $\pm$ 0.06,1.0 $\pm$ 0.0
40,0.1872 $\pm$ 0.0,0.152 $\pm$ 0.0437,0.1528 $\pm$ 0.0351,0.1342 $\pm$ 0.062,0.6875 $\pm$ 0.0
41,0.504 $\pm$ 0.0,0.1778 $\pm$ 0.0498,0.1807 $\pm$ 0.0423,0.1921 $\pm$ 0.0525,1.0 $\pm$ 0.0
42,0.504 $\pm$ 0.0,0.1778 $\pm$ 0.0498,0.1807 $\pm$ 0.0423,0.1921 $\pm$ 0.0525,1.0 $\pm$ 0.0
43,1.0079 $\pm$ 0.0,0.3556 $\pm$ 0.0996,0.3613 $\pm$ 0.0846,0.3842 $\pm$ 0.1049,2.0 $\pm$ 0.0
44,1.4302 $\pm$ 0.0,0.7896 $\pm$ 0.1921,0.7546 $\pm$ 0.1403,0.7422 $\pm$ 0.1894,3.9513 $\pm$ 0.0
45,0.504 $\pm$ 0.0,0.2133 $\pm$ 0.0605,0.205 $\pm$ 0.0486,0.213 $\pm$ 0.0533,1.0 $\pm$ 0.0
46,0.504 $\pm$ 0.0,0.1431 $\pm$ 0.042,0.1595 $\pm$ 0.0438,0.1716 $\pm$ 0.0545,1.0 $\pm$ 0.0
47,-2.0585 $\pm$ 0.0,-0.4224 $\pm$ 0.2279,-0.2938 $\pm$ 0.2281,-0.5346 $\pm$ 0.3444,-1.3214 $\pm$ 0.0
48,0.3662 $\pm$ 0.0,0.1908 $\pm$ 0.0564,0.1967 $\pm$ 0.0413,0.1961 $\pm$ 0.0508,1.0 $\pm$ 0.0
49,0.6831 $\pm$ 0.0,0.2233 $\pm$ 0.0651,0.2025 $\pm$ 0.0535,0.2211 $\pm$ 0.0584,1.0 $\pm$ 0.0
50,0.2814 $\pm$ 0.0,0.0952 $\pm$ 0.0269,0.086 $\pm$ 0.0176,0.0859 $\pm$ 0.0279,0.3512 $\pm$ 0.0
51,5.42 $\pm$ 0.0,3.7113 $\pm$ 0.8846,4.0465 $\pm$ 1.0824,4.3047 $\pm$ 1.283,24.0 $\pm$ 0.0
52,0.3495 $\pm$ 0.0,0.1287 $\pm$ 0.0358,0.1307 $\pm$ 0.0291,0.1382 $\pm$ 0.0351,0.7071 $\pm$ 0.0
53,0.1082 $\pm$ 0.0,0.0349 $\pm$ 0.0106,0.0352 $\pm$ 0.0085,0.0379 $\pm$ 0.0099,0.2 $\pm$ 0.0
54,0.3662 $\pm$ 0.0,0.153 $\pm$ 0.0427,0.1671 $\pm$ 0.035,0.1741 $\pm$ 0.0492,1.0 $\pm$ 0.0
55,0.4315 $\pm$ 0.0,0.1953 $\pm$ 0.0592,0.2 $\pm$ 0.0529,0.1921 $\pm$ 0.0696,1.0 $\pm$ 0.0
56,4.8036 $\pm$ 0.0,5.4987 $\pm$ 1.1529,1236085268.0155 $\pm$ 2280548444.9148,1229273858.6382 $\pm$ 2269269222.1,24000000000.0 $\pm$ 0.0
57,0.4301 $\pm$ 0.0,0.1645 $\pm$ 0.044,0.171 $\pm$ 0.0373,0.1809 $\pm$ 0.0498,1.0 $\pm$ 0.0
58,0.5959 $\pm$ 0.0,0.3419 $\pm$ 0.0912,10321084187.0574 $\pm$ 19054781196.1387,10009669939.9132 $\pm$ 18479384511.7701,164048773235.279 $\pm$ 0.0
59,1.8419 $\pm$ 0.0,0.5358 $\pm$ 0.1224,0.4606 $\pm$ 0.0872,0.4478 $\pm$ 0.1877,2.3059 $\pm$ 0.0
60,0.4301 $\pm$ 0.0,0.1645 $\pm$ 0.044,0.171 $\pm$ 0.0373,0.1809 $\pm$ 0.0498,1.0 $\pm$ 0.0
61,0.5056 $\pm$ 0.0,0.2039 $\pm$ 0.0635,0.2052 $\pm$ 0.0578,0.199 $\pm$ 0.0734,1.0 $\pm$ 0.0
63,0.2659 $\pm$ 0.0,0.1786 $\pm$ 0.0516,0.1881 $\pm$ 0.0422,0.1757 $\pm$ 0.0624,1.0 $\pm$ 0.0
64,0.6756 $\pm$ 0.0,0.3665 $\pm$ 0.1178,323821687.4793 $\pm$ 597490031.2484,344535669.3352 $\pm$ 636448733.4266,7285714285.7143 $\pm$ 0.0
