Measurement,Base_to_1,Base_to_2,Base_to_4,Bast_to_8,Base_to_Base
15,2.9474 $\pm$ 0.0,2.7604 $\pm$ 0.3265,2.6782 $\pm$ 0.5905,2.2876 $\pm$ 0.5592,0.0 $\pm$ 0.0
16,1.6337 $\pm$ 0.0,1.4837 $\pm$ 0.0838,1.4595 $\pm$ 0.1663,1.2785 $\pm$ 0.1928,0.0 $\pm$ 0.0
17,2.9474 $\pm$ 0.0,2.7604 $\pm$ 0.3265,2.6782 $\pm$ 0.5905,2.2876 $\pm$ 0.5592,0.0 $\pm$ 0.0
18,2.9474 $\pm$ 0.0,2.7604 $\pm$ 0.3265,2.6782 $\pm$ 0.5905,2.2876 $\pm$ 0.5592,0.0 $\pm$ 0.0
19,2.9474 $\pm$ 0.0,2.7604 $\pm$ 0.3265,2.6782 $\pm$ 0.5905,2.2876 $\pm$ 0.5592,0.0 $\pm$ 0.0
20,0.1134 $\pm$ 0.0,0.706 $\pm$ 0.0528,0.7019 $\pm$ 0.0694,0.6676 $\pm$ 0.0861,0.0 $\pm$ 0.0
21,2.9474 $\pm$ 0.0,2.7604 $\pm$ 0.3265,2.6782 $\pm$ 0.5905,2.2876 $\pm$ 0.5592,0.0 $\pm$ 0.0
22,2.9474 $\pm$ 0.0,2.7604 $\pm$ 0.3265,2.6782 $\pm$ 0.5905,2.2876 $\pm$ 0.5592,0.0 $\pm$ 0.0
23,0.0283 $\pm$ 0.0,0.6568 $\pm$ 0.0594,0.654 $\pm$ 0.0816,0.6293 $\pm$ 0.0969,0.0 $\pm$ 0.0
24,0.0162 $\pm$ 0.0,0.6551 $\pm$ 0.0603,0.6522 $\pm$ 0.082,0.6282 $\pm$ 0.0971,0.0 $\pm$ 0.0
25,0.1134 $\pm$ 0.0,0.7024 $\pm$ 0.0528,0.6984 $\pm$ 0.0703,0.6638 $\pm$ 0.0871,0.0 $\pm$ 0.0
26,0.0162 $\pm$ 0.0,0.6515 $\pm$ 0.0604,0.6485 $\pm$ 0.0831,0.6243 $\pm$ 0.0983,0.0 $\pm$ 0.0
27,0.2423 $\pm$ 0.0,0.8196 $\pm$ 0.0396,0.8163 $\pm$ 0.0549,0.7453 $\pm$ 0.0761,0.0 $\pm$ 0.0
28,0.2423 $\pm$ 0.0,0.8196 $\pm$ 0.0396,0.8163 $\pm$ 0.0549,0.7453 $\pm$ 0.0761,0.0 $\pm$ 0.0
29,0.9454 $\pm$ 0.0,1.1354 $\pm$ 0.034,1.1279 $\pm$ 0.0678,0.9818 $\pm$ 0.1176,0.0 $\pm$ 0.0
30,0.6685 $\pm$ 0.0,0.9904 $\pm$ 0.0205,0.9844 $\pm$ 0.043,0.8748 $\pm$ 0.0855,0.0 $\pm$ 0.0
62,0.0705 $\pm$ 0.0,0.747 $\pm$ 0.064,0.7447 $\pm$ 0.0811,0.6938 $\pm$ 0.0817,0.0 $\pm$ 0.0
