Measurement,Base_to_1,Base_to_2,Base_to_4,Bast_to_8,Base_to_Base
15,3.7826 $\pm$ 0.0,3.8468 $\pm$ 1.4247,3.9346 $\pm$ 1.3356,3.6877 $\pm$ 1.4356,0.0 $\pm$ 0.0
16,1.2836 $\pm$ 0.0,1.3348 $\pm$ 0.4961,1.371 $\pm$ 0.4747,1.3112 $\pm$ 0.474,0.0 $\pm$ 0.0
17,3.7826 $\pm$ 0.0,3.8468 $\pm$ 1.4247,3.9346 $\pm$ 1.3356,3.6877 $\pm$ 1.4356,0.0 $\pm$ 0.0
18,3.7826 $\pm$ 0.0,3.8468 $\pm$ 1.4247,3.9346 $\pm$ 1.3356,3.6877 $\pm$ 1.4356,0.0 $\pm$ 0.0
19,3.7826 $\pm$ 0.0,3.8468 $\pm$ 1.4247,3.9346 $\pm$ 1.3356,3.6877 $\pm$ 1.4356,0.0 $\pm$ 0.0
20,0.044 $\pm$ 0.0,0.2904 $\pm$ 0.0307,0.3293 $\pm$ 0.0361,0.3206 $\pm$ 0.0433,0.0 $\pm$ 0.0
21,3.7826 $\pm$ 0.0,3.8468 $\pm$ 1.4247,3.9346 $\pm$ 1.3356,3.6877 $\pm$ 1.4356,0.0 $\pm$ 0.0
22,3.7826 $\pm$ 0.0,3.8468 $\pm$ 1.4247,3.9346 $\pm$ 1.3356,3.6877 $\pm$ 1.4356,0.0 $\pm$ 0.0
23,0.011 $\pm$ 0.0,0.2619 $\pm$ 0.0309,0.3004 $\pm$ 0.0348,0.2939 $\pm$ 0.0408,0.0 $\pm$ 0.0
24,0.0048 $\pm$ 0.0,0.2581 $\pm$ 0.0312,0.2967 $\pm$ 0.0348,0.2899 $\pm$ 0.0405,0.0 $\pm$ 0.0
25,0.044 $\pm$ 0.0,0.2898 $\pm$ 0.0307,0.3286 $\pm$ 0.0361,0.32 $\pm$ 0.0434,0.0 $\pm$ 0.0
26,0.0048 $\pm$ 0.0,0.2574 $\pm$ 0.0312,0.296 $\pm$ 0.0349,0.2893 $\pm$ 0.0406,0.0 $\pm$ 0.0
27,0.1489 $\pm$ 0.0,0.4503 $\pm$ 0.1163,0.4829 $\pm$ 0.1139,0.4659 $\pm$ 0.1233,0.0 $\pm$ 0.0
28,0.1489 $\pm$ 0.0,0.4503 $\pm$ 0.1163,0.4829 $\pm$ 0.1139,0.4659 $\pm$ 0.1233,0.0 $\pm$ 0.0
29,0.5177 $\pm$ 0.0,0.7792 $\pm$ 0.304,0.8039 $\pm$ 0.287,0.7684 $\pm$ 0.2891,0.0 $\pm$ 0.0
30,0.366 $\pm$ 0.0,0.6249 $\pm$ 0.2136,0.6537 $\pm$ 0.2046,0.6268 $\pm$ 0.2083,0.0 $\pm$ 0.0
62,0.0305 $\pm$ 0.0,0.3533 $\pm$ 0.0754,0.3871 $\pm$ 0.0819,0.3734 $\pm$ 0.1012,0.0 $\pm$ 0.0
