Measurement,Base_to_1,Base_to_2,Base_to_4,Bast_to_8,Base_to_Base
15,1.875 $\pm$ 0.0,4.8678 $\pm$ 1.2617,4.7654 $\pm$ 1.2117,3.46 $\pm$ 0.7168,0.0 $\pm$ 0.0
16,1.2429 $\pm$ 0.0,1.7551 $\pm$ 0.2356,1.7771 $\pm$ 0.2362,1.564 $\pm$ 0.1604,0.0 $\pm$ 0.0
17,1.875 $\pm$ 0.0,4.8678 $\pm$ 1.2617,4.7654 $\pm$ 1.2117,3.46 $\pm$ 0.7168,0.0 $\pm$ 0.0
18,1.875 $\pm$ 0.0,4.8678 $\pm$ 1.2617,4.7654 $\pm$ 1.2117,3.46 $\pm$ 0.7168,0.0 $\pm$ 0.0
19,1.875 $\pm$ 0.0,4.8678 $\pm$ 1.2617,4.7654 $\pm$ 1.2117,3.46 $\pm$ 0.7168,0.0 $\pm$ 0.0
20,0.8607 $\pm$ 0.0,0.8 $\pm$ 0.0649,0.7671 $\pm$ 0.0735,0.7948 $\pm$ 0.0655,0.0 $\pm$ 0.0
21,1.875 $\pm$ 0.0,4.8678 $\pm$ 1.2617,4.7654 $\pm$ 1.2117,3.46 $\pm$ 0.7168,0.0 $\pm$ 0.0
22,1.875 $\pm$ 0.0,4.8678 $\pm$ 1.2617,4.7654 $\pm$ 1.2117,3.46 $\pm$ 0.7168,0.0 $\pm$ 0.0
23,0.8402 $\pm$ 0.0,0.7546 $\pm$ 0.0771,0.7182 $\pm$ 0.0859,0.7582 $\pm$ 0.0742,0.0 $\pm$ 0.0
24,0.8384 $\pm$ 0.0,0.7555 $\pm$ 0.0771,0.7184 $\pm$ 0.0865,0.7565 $\pm$ 0.0752,0.0 $\pm$ 0.0
25,0.8604 $\pm$ 0.0,0.7943 $\pm$ 0.0663,0.7601 $\pm$ 0.0743,0.7918 $\pm$ 0.0657,0.0 $\pm$ 0.0
26,0.8381 $\pm$ 0.0,0.7498 $\pm$ 0.0786,0.7113 $\pm$ 0.0876,0.7535 $\pm$ 0.0755,0.0 $\pm$ 0.0
27,0.9137 $\pm$ 0.0,0.9618 $\pm$ 0.0157,0.9256 $\pm$ 0.0295,0.9137 $\pm$ 0.0412,0.0 $\pm$ 0.0
28,0.9137 $\pm$ 0.0,0.9618 $\pm$ 0.0157,0.9256 $\pm$ 0.0295,0.9137 $\pm$ 0.0412,0.0 $\pm$ 0.0
29,1.0624 $\pm$ 0.0,1.215 $\pm$ 0.0716,1.2075 $\pm$ 0.0669,1.1486 $\pm$ 0.0541,0.0 $\pm$ 0.0
30,0.9953 $\pm$ 0.0,1.0757 $\pm$ 0.0278,1.0594 $\pm$ 0.0243,1.0307 $\pm$ 0.0264,0.0 $\pm$ 0.0
62,0.8618 $\pm$ 0.0,1.0454 $\pm$ 0.0746,0.919 $\pm$ 0.0952,0.882 $\pm$ 0.0867,0.0 $\pm$ 0.0
