Measurement,Base_to_1,Base_to_2,Base_to_4,Bast_to_8,Base_to_Base
1,0.0583 $\pm$ 0.0,0.0224 $\pm$ 0.0096,0.0458 $\pm$ 0.0185,0.0569 $\pm$ 0.0299,1.0 $\pm$ 0.0
2,0.0863 $\pm$ 0.0,0.0382 $\pm$ 0.0157,0.0744 $\pm$ 0.0295,0.0863 $\pm$ 0.0412,1.0 $\pm$ 0.0
3,0.0863 $\pm$ 0.0,0.0382 $\pm$ 0.0157,0.0744 $\pm$ 0.0295,0.0863 $\pm$ 0.0412,1.0 $\pm$ 0.0
4,0.1028 $\pm$ 0.0,0.0501 $\pm$ 0.0202,0.0947 $\pm$ 0.0373,0.1057 $\pm$ 0.0478,1.0 $\pm$ 0.0
5,0.0863 $\pm$ 0.0,0.0382 $\pm$ 0.0157,0.0744 $\pm$ 0.0295,0.0863 $\pm$ 0.0412,1.0 $\pm$ 0.0
6,0.0354 $\pm$ 0.0,0.0123 $\pm$ 0.0055,0.0262 $\pm$ 0.0108,0.0345 $\pm$ 0.0197,1.0 $\pm$ 0.0
7,0.1393 $\pm$ 0.0,0.2 $\pm$ 0.0649,0.2329 $\pm$ 0.0735,0.2052 $\pm$ 0.0655,1.0 $\pm$ 0.0
8,0.1515 $\pm$ 0.0,0.2256 $\pm$ 0.0717,0.2607 $\pm$ 0.0807,0.2266 $\pm$ 0.0707,1.0 $\pm$ 0.0
9,0.1203 $\pm$ 0.0,0.1644 $\pm$ 0.0554,0.1935 $\pm$ 0.0629,0.1734 $\pm$ 0.0574,1.0 $\pm$ 0.0
10,0.0773 $\pm$ 0.0,0.1026 $\pm$ 0.0329,0.1221 $\pm$ 0.0381,0.1099 $\pm$ 0.0354,0.6075 $\pm$ 0.0
11,0.1515 $\pm$ 0.0,0.2256 $\pm$ 0.0717,0.2607 $\pm$ 0.0807,0.2266 $\pm$ 0.0707,1.0 $\pm$ 0.0
12,0.5833 $\pm$ 0.0,0.5007 $\pm$ 0.2233,0.8463 $\pm$ 0.3255,0.8634 $\pm$ 0.456,8.1667 $\pm$ 0.0
13,5.2917 $\pm$ 0.0,13.6308 $\pm$ 4.5945,14.487 $\pm$ 4.6283,11.4495 $\pm$ 3.777,38.0 $\pm$ 0.0
14,0.0154 $\pm$ 0.0,0.0074 $\pm$ 0.0033,0.0137 $\pm$ 0.0052,0.0157 $\pm$ 0.0086,0.2149 $\pm$ 0.0
31,0.016 $\pm$ 0.0,0.0041 $\pm$ 0.002,0.0092 $\pm$ 0.0044,0.0107 $\pm$ 0.0049,0.23 $\pm$ 0.0
32,0.2023 $\pm$ 0.0,-1.7283 $\pm$ 1.4361,-0.7706 $\pm$ 0.989,-0.2829 $\pm$ 0.6387,1.8673 $\pm$ 0.0
33,0.0879 $\pm$ 0.0,0.0418 $\pm$ 0.0171,0.0805 $\pm$ 0.0317,0.0901 $\pm$ 0.042,1.0 $\pm$ 0.0
34,0.6091 $\pm$ 0.0,0.2745 $\pm$ 0.1348,0.5647 $\pm$ 0.2592,0.5956 $\pm$ 0.2677,8.7397 $\pm$ 0.0
35,1.2183 $\pm$ 0.0,0.764 $\pm$ 0.4206,1.5424 $\pm$ 0.6714,1.8433 $\pm$ 1.2089,32.6849 $\pm$ 0.0
36,0.0464 $\pm$ 0.0,0.0126 $\pm$ 0.0064,0.0306 $\pm$ 0.0133,0.0424 $\pm$ 0.0262,1.0 $\pm$ 0.0
37,0.0123 $\pm$ 0.0,-0.1678 $\pm$ 0.0652,-0.12 $\pm$ 0.0581,-0.0649 $\pm$ 0.058,1.0 $\pm$ 0.0
38,0.0879 $\pm$ 0.0,0.0418 $\pm$ 0.0171,0.0805 $\pm$ 0.0317,0.0901 $\pm$ 0.042,1.0 $\pm$ 0.0
39,0.0123 $\pm$ 0.0,-0.1678 $\pm$ 0.0652,-0.12 $\pm$ 0.0581,-0.0649 $\pm$ 0.058,1.0 $\pm$ 0.0
40,0.0877 $\pm$ 0.0,-0.0632 $\pm$ 0.0721,0.0329 $\pm$ 0.0758,0.0658 $\pm$ 0.0636,0.6988 $\pm$ 0.0
