Measurement,Base_to_1,Base_to_2,Base_to_4,Bast_to_8,Base_to_Base
15,1.4048 $\pm$ 0.0,3.7036 $\pm$ 1.0926,3.3343 $\pm$ 1.0759,2.8969 $\pm$ 0.8173,0.0 $\pm$ 0.0
16,1.0513 $\pm$ 0.0,1.6146 $\pm$ 0.2316,1.5275 $\pm$ 0.2325,1.4476 $\pm$ 0.182,0.0 $\pm$ 0.0
17,1.4048 $\pm$ 0.0,3.7036 $\pm$ 1.0926,3.3343 $\pm$ 1.0759,2.8969 $\pm$ 0.8173,0.0 $\pm$ 0.0
18,1.4048 $\pm$ 0.0,3.7036 $\pm$ 1.0926,3.3343 $\pm$ 1.0759,2.8969 $\pm$ 0.8173,0.0 $\pm$ 0.0
19,1.4048 $\pm$ 0.0,3.7036 $\pm$ 1.0926,3.3343 $\pm$ 1.0759,2.8969 $\pm$ 0.8173,0.0 $\pm$ 0.0
20,0.8484 $\pm$ 0.0,0.7934 $\pm$ 0.0652,0.819 $\pm$ 0.0796,0.813 $\pm$ 0.0781,0.0 $\pm$ 0.0
21,1.4048 $\pm$ 0.0,3.7036 $\pm$ 1.0926,3.3343 $\pm$ 1.0759,2.8969 $\pm$ 0.8173,0.0 $\pm$ 0.0
22,1.4048 $\pm$ 0.0,3.7036 $\pm$ 1.0926,3.3343 $\pm$ 1.0759,2.8969 $\pm$ 0.8173,0.0 $\pm$ 0.0
23,0.8371 $\pm$ 0.0,0.7464 $\pm$ 0.0823,0.7789 $\pm$ 0.095,0.7787 $\pm$ 0.0903,0.0 $\pm$ 0.0
24,0.8368 $\pm$ 0.0,0.7465 $\pm$ 0.0816,0.7791 $\pm$ 0.0952,0.778 $\pm$ 0.0906,0.0 $\pm$ 0.0
25,0.8478 $\pm$ 0.0,0.788 $\pm$ 0.0674,0.8134 $\pm$ 0.0814,0.809 $\pm$ 0.0792,0.0 $\pm$ 0.0
26,0.8362 $\pm$ 0.0,0.7405 $\pm$ 0.0842,0.7728 $\pm$ 0.0975,0.7735 $\pm$ 0.0921,0.0 $\pm$ 0.0
27,0.858 $\pm$ 0.0,0.8788 $\pm$ 0.0438,0.8876 $\pm$ 0.057,0.876 $\pm$ 0.0603,0.0 $\pm$ 0.0
28,0.858 $\pm$ 0.0,0.8788 $\pm$ 0.0438,0.8876 $\pm$ 0.057,0.876 $\pm$ 0.0603,0.0 $\pm$ 0.0
29,0.9207 $\pm$ 0.0,1.1172 $\pm$ 0.0584,1.092 $\pm$ 0.042,1.0739 $\pm$ 0.0389,0.0 $\pm$ 0.0
30,0.8951 $\pm$ 0.0,1.004 $\pm$ 0.0259,0.9964 $\pm$ 0.0199,0.9841 $\pm$ 0.0264,0.0 $\pm$ 0.0
62,0.8467 $\pm$ 0.0,0.8569 $\pm$ 0.0728,0.846 $\pm$ 0.0839,0.8289 $\pm$ 0.087,0.0 $\pm$ 0.0
