Measurement,Base_to_1,Base_to_2,Base_to_4,Bast_to_8,Base_to_Base
1,0.1313 $\pm$ 0.0,0.0849 $\pm$ 0.0317,0.0781 $\pm$ 0.0417,0.0892 $\pm$ 0.0465,1.0 $\pm$ 0.0
2,0.142 $\pm$ 0.0,0.1212 $\pm$ 0.0438,0.1124 $\pm$ 0.057,0.124 $\pm$ 0.0603,1.0 $\pm$ 0.0
3,0.142 $\pm$ 0.0,0.1212 $\pm$ 0.0438,0.1124 $\pm$ 0.057,0.124 $\pm$ 0.0603,1.0 $\pm$ 0.0
4,0.1476 $\pm$ 0.0,0.1425 $\pm$ 0.0506,0.1325 $\pm$ 0.0655,0.1436 $\pm$ 0.0677,1.0 $\pm$ 0.0
5,0.142 $\pm$ 0.0,0.1212 $\pm$ 0.0438,0.1124 $\pm$ 0.057,0.124 $\pm$ 0.0603,1.0 $\pm$ 0.0
6,0.12 $\pm$ 0.0,0.0539 $\pm$ 0.0209,0.049 $\pm$ 0.0278,0.0582 $\pm$ 0.0332,1.0 $\pm$ 0.0
7,0.1516 $\pm$ 0.0,0.2066 $\pm$ 0.0652,0.181 $\pm$ 0.0796,0.187 $\pm$ 0.0781,1.0 $\pm$ 0.0
8,0.1582 $\pm$ 0.0,0.2333 $\pm$ 0.0746,0.2038 $\pm$ 0.0884,0.2068 $\pm$ 0.0851,1.0 $\pm$ 0.0
9,0.1421 $\pm$ 0.0,0.1689 $\pm$ 0.0527,0.1489 $\pm$ 0.0673,0.1583 $\pm$ 0.0681,1.0 $\pm$ 0.0
10,0.0946 $\pm$ 0.0,0.1195 $\pm$ 0.0377,0.1047 $\pm$ 0.047,0.1073 $\pm$ 0.045,0.6378 $\pm$ 0.0
11,0.1582 $\pm$ 0.0,0.2333 $\pm$ 0.0746,0.2038 $\pm$ 0.0884,0.2068 $\pm$ 0.0851,1.0 $\pm$ 0.0
12,1.4286 $\pm$ 0.0,1.6797 $\pm$ 0.699,1.4596 $\pm$ 0.8271,1.3884 $\pm$ 0.7244,10.4762 $\pm$ 0.0
13,5.7619 $\pm$ 0.0,9.8062 $\pm$ 3.0472,8.71 $\pm$ 3.983,8.6776 $\pm$ 3.6962,38.0 $\pm$ 0.0
14,0.0376 $\pm$ 0.0,0.0355 $\pm$ 0.015,0.0304 $\pm$ 0.017,0.03 $\pm$ 0.0155,0.2757 $\pm$ 0.0
31,0.0171 $\pm$ 0.0,0.0108 $\pm$ 0.0034,0.0127 $\pm$ 0.0082,0.0178 $\pm$ 0.0119,0.214 $\pm$ 0.0
32,0.2017 $\pm$ 0.0,-0.3295 $\pm$ 0.8191,-0.1159 $\pm$ 0.4697,0.0308 $\pm$ 0.4297,1.7731 $\pm$ 0.0
33,0.1425 $\pm$ 0.0,0.125 $\pm$ 0.044,0.1175 $\pm$ 0.0581,0.1278 $\pm$ 0.0611,1.0 $\pm$ 0.0
34,0.6512 $\pm$ 0.0,0.514 $\pm$ 0.1621,0.6134 $\pm$ 0.4087,0.8237 $\pm$ 0.5539,8.1321 $\pm$ 0.0
35,4.2347 $\pm$ 0.0,2.9556 $\pm$ 1.1867,2.7019 $\pm$ 1.5942,2.8986 $\pm$ 1.6476,32.9024 $\pm$ 0.0
36,0.1279 $\pm$ 0.0,0.0708 $\pm$ 0.0282,0.0663 $\pm$ 0.0372,0.0776 $\pm$ 0.0431,1.0 $\pm$ 0.0
37,0.1192 $\pm$ 0.0,-0.0091 $\pm$ 0.0531,0.0122 $\pm$ 0.038,0.0319 $\pm$ 0.0463,1.0 $\pm$ 0.0
38,0.1425 $\pm$ 0.0,0.125 $\pm$ 0.044,0.1175 $\pm$ 0.0581,0.1278 $\pm$ 0.0611,1.0 $\pm$ 0.0
39,0.1192 $\pm$ 0.0,-0.0091 $\pm$ 0.0531,0.0122 $\pm$ 0.038,0.0319 $\pm$ 0.0463,1.0 $\pm$ 0.0
40,0.0854 $\pm$ 0.0,0.0555 $\pm$ 0.0528,0.0726 $\pm$ 0.0493,0.0932 $\pm$ 0.0579,0.6675 $\pm$ 0.0
41,0.1429 $\pm$ 0.0,0.1301 $\pm$ 0.0443,0.1233 $\pm$ 0.0593,0.1324 $\pm$ 0.0622,1.0 $\pm$ 0.0
42,0.1429 $\pm$ 0.0,0.1301 $\pm$ 0.0443,0.1233 $\pm$ 0.0593,0.1324 $\pm$ 0.0622,1.0 $\pm$ 0.0
43,0.2859 $\pm$ 0.0,0.2601 $\pm$ 0.0886,0.2467 $\pm$ 0.1187,0.2647 $\pm$ 0.1244,2.0 $\pm$ 0.0
44,0.6017 $\pm$ 0.0,0.4169 $\pm$ 0.147,0.4399 $\pm$ 0.2402,0.5344 $\pm$ 0.2907,4.8666 $\pm$ 0.0
45,0.1478 $\pm$ 0.0,0.1598 $\pm$ 0.0534,0.157 $\pm$ 0.0728,0.1618 $\pm$ 0.0756,1.0 $\pm$ 0.0
46,0.138 $\pm$ 0.0,0.1041 $\pm$ 0.0392,0.0929 $\pm$ 0.0496,0.1065 $\pm$ 0.0532,1.0 $\pm$ 0.0
47,-0.7623 $\pm$ 0.0,-1.6345 $\pm$ 0.6187,-1.5149 $\pm$ 0.7203,-1.2939 $\pm$ 0.5601,-3.0 $\pm$ 0.0
48,0.1374 $\pm$ 0.0,0.1161 $\pm$ 0.0441,0.1227 $\pm$ 0.0629,0.1322 $\pm$ 0.0701,1.0 $\pm$ 0.0
49,0.148 $\pm$ 0.0,0.1754 $\pm$ 0.0543,0.1588 $\pm$ 0.0708,0.1654 $\pm$ 0.0713,1.0 $\pm$ 0.0
50,0.0236 $\pm$ 0.0,0.0397 $\pm$ 0.0199,0.0337 $\pm$ 0.0194,0.0362 $\pm$ 0.019,0.2481 $\pm$ 0.0
51,4.417 $\pm$ 0.0,1.8115 $\pm$ 0.8084,1.8348 $\pm$ 1.2259,2.4137 $\pm$ 1.5847,38.0 $\pm$ 0.0
52,0.0992 $\pm$ 0.0,0.083 $\pm$ 0.028,0.0811 $\pm$ 0.041,0.0913 $\pm$ 0.0436,0.7071 $\pm$ 0.0
53,0.0234 $\pm$ 0.0,0.0216 $\pm$ 0.0069,0.0202 $\pm$ 0.0094,0.0221 $\pm$ 0.0098,0.1601 $\pm$ 0.0
54,0.1321 $\pm$ 0.0,0.0858 $\pm$ 0.0315,0.0857 $\pm$ 0.0462,0.1007 $\pm$ 0.052,1.0 $\pm$ 0.0
55,0.1481 $\pm$ 0.0,0.1228 $\pm$ 0.0677,0.1354 $\pm$ 0.0771,0.1542 $\pm$ 0.0812,1.0 $\pm$ 0.0
56,2714285715.2762 $\pm$ 0.0,1.0436 $\pm$ 0.4151,1.0528 $\pm$ 0.7253,1.7328 $\pm$ 1.632,38000000000.0 $\pm$ 0.0
57,0.1356 $\pm$ 0.0,0.1038 $\pm$ 0.0356,0.0989 $\pm$ 0.0499,0.1115 $\pm$ 0.0547,1.0 $\pm$ 0.0
58,19394928855.5631 $\pm$ 0.0,0.1375 $\pm$ 0.0525,0.1374 $\pm$ 0.0792,0.1765 $\pm$ 0.1138,386282333036.7654 $\pm$ 0.0
59,0.0746 $\pm$ 0.0,0.1715 $\pm$ 0.2142,0.1794 $\pm$ 0.2232,0.186 $\pm$ 0.2012,2.3356 $\pm$ 0.0
60,0.1356 $\pm$ 0.0,0.1038 $\pm$ 0.0356,0.0989 $\pm$ 0.0499,0.1115 $\pm$ 0.0547,1.0 $\pm$ 0.0
61,0.1533 $\pm$ 0.0,0.1431 $\pm$ 0.0728,0.154 $\pm$ 0.0839,0.1711 $\pm$ 0.087,1.0 $\pm$ 0.0
63,0.1344 $\pm$ 0.0,0.0804 $\pm$ 0.0585,0.0939 $\pm$ 0.0597,0.1139 $\pm$ 0.0673,1.0 $\pm$ 0.0
64,428571428.9571 $\pm$ 0.0,0.1518 $\pm$ 0.0645,0.136 $\pm$ 0.0896,0.1831 $\pm$ 0.1532,10476190476.1905 $\pm$ 0.0
65,0.1313 $\pm$ 0.0,0.0849 $\pm$ 0.0317,0.0781 $\pm$ 0.0417,0.0892 $\pm$ 0.0465,1.0 $\pm$ 0.0
66,0.0235 $\pm$ 0.0,0.017 $\pm$ 0.007,0.0155 $\pm$ 0.0088,0.0162 $\pm$ 0.0082,0.1892 $\pm$ 0.0
67,0.1366 $\pm$ 0.0,0.1439 $\pm$ 0.0445,0.1275 $\pm$ 0.0611,0.1411 $\pm$ 0.063,1.0 $\pm$ 0.0
68,0.1079 $\pm$ 0.0,0.1074 $\pm$ 0.0444,0.0966 $\pm$ 0.0529,0.0972 $\pm$ 0.0491,0.7566 $\pm$ 0.0
69,0.1196 $\pm$ 0.0,0.0418 $\pm$ 0.0215,0.0392 $\pm$ 0.0273,0.0497 $\pm$ 0.0342,1.0 $\pm$ 0.0
70,0.0307 $\pm$ 0.0,0.0131 $\pm$ 0.0074,0.0112 $\pm$ 0.0087,0.0119 $\pm$ 0.0076,0.2757 $\pm$ 0.0
71,0.1466 $\pm$ 0.0,0.148 $\pm$ 0.0495,0.1383 $\pm$ 0.0667,0.1511 $\pm$ 0.0695,1.0 $\pm$ 0.0
72,0.1265 $\pm$ 0.0,0.0267 $\pm$ 0.0531,0.0422 $\pm$ 0.046,0.0693 $\pm$ 0.0542,1.0 $\pm$ 0.0
73,0.0444 $\pm$ 0.0,0.0925 $\pm$ 0.0424,0.0848 $\pm$ 0.0451,0.0842 $\pm$ 0.0485,0.1444 $\pm$ 0.0
74,0.8014 $\pm$ 0.0,0.4516 $\pm$ 0.1764,0.5838 $\pm$ 0.4147,0.8223 $\pm$ 0.5817,9.4286 $\pm$ 0.0
75,13714285715.451 $\pm$ 0.0,525714286.7891 $\pm$ 2008757743.0477,339570120.9373 $\pm$ 1194027201.6824,840745475.9312 $\pm$ 2245713979.825,273142857142.8572 $\pm$ 0.0
76,13714285715.451 $\pm$ 0.0,525714286.7891 $\pm$ 2008757743.0477,339570120.9373 $\pm$ 1194027201.6824,840745475.9312 $\pm$ 2245713979.825,273142857142.8572 $\pm$ 0.0
