Measurement,Base_to_1,Base_to_2,Base_to_4,Bast_to_8,Base_to_Base
1,0.1352 $\pm$ 0.0,0.0959 $\pm$ 0.0572,0.0718 $\pm$ 0.038,0.1469 $\pm$ 0.0582,1.0 $\pm$ 0.0
2,0.1653 $\pm$ 0.0,0.131 $\pm$ 0.0684,0.1011 $\pm$ 0.0484,0.1819 $\pm$ 0.0647,1.0 $\pm$ 0.0
3,0.1653 $\pm$ 0.0,0.131 $\pm$ 0.0684,0.1011 $\pm$ 0.0484,0.1819 $\pm$ 0.0647,1.0 $\pm$ 0.0
4,0.1822 $\pm$ 0.0,0.1522 $\pm$ 0.0743,0.1191 $\pm$ 0.0549,0.2012 $\pm$ 0.0683,1.0 $\pm$ 0.0
5,0.1653 $\pm$ 0.0,0.131 $\pm$ 0.0684,0.1011 $\pm$ 0.0484,0.1819 $\pm$ 0.0647,1.0 $\pm$ 0.0
6,0.1077 $\pm$ 0.0,0.0656 $\pm$ 0.0456,0.0476 $\pm$ 0.0295,0.1132 $\pm$ 0.0526,1.0 $\pm$ 0.0
7,0.1806 $\pm$ 0.0,0.1832 $\pm$ 0.0763,0.1615 $\pm$ 0.0681,0.2372 $\pm$ 0.0628,1.0 $\pm$ 0.0
8,0.2068 $\pm$ 0.0,0.2179 $\pm$ 0.0858,0.1917 $\pm$ 0.0807,0.2694 $\pm$ 0.068,1.0 $\pm$ 0.0
9,0.1493 $\pm$ 0.0,0.1417 $\pm$ 0.0648,0.1244 $\pm$ 0.053,0.1965 $\pm$ 0.057,1.0 $\pm$ 0.0
10,0.1172 $\pm$ 0.0,0.1151 $\pm$ 0.0505,0.0974 $\pm$ 0.0414,0.152 $\pm$ 0.0433,0.684 $\pm$ 0.0
11,0.2068 $\pm$ 0.0,0.2179 $\pm$ 0.0858,0.1917 $\pm$ 0.0807,0.2694 $\pm$ 0.068,1.0 $\pm$ 0.0
12,0.8611 $\pm$ 0.0,0.8775 $\pm$ 0.4722,0.6373 $\pm$ 0.3584,1.2231 $\pm$ 0.4643,5.8889 $\pm$ 0.0
13,2.8889 $\pm$ 0.0,3.4309 $\pm$ 1.3741,3.0814 $\pm$ 1.3438,4.3678 $\pm$ 1.1374,16.0 $\pm$ 0.0
14,0.0538 $\pm$ 0.0,0.0473 $\pm$ 0.0267,0.0337 $\pm$ 0.0192,0.0672 $\pm$ 0.0276,0.3681 $\pm$ 0.0
31,0.0446 $\pm$ 0.0,0.0214 $\pm$ 0.0118,0.0179 $\pm$ 0.008,0.0305 $\pm$ 0.0114,0.2204 $\pm$ 0.0
32,0.1741 $\pm$ 0.0,-0.2792 $\pm$ 0.7627,-0.4953 $\pm$ 0.8088,-0.587 $\pm$ 0.6872,1.1466 $\pm$ 0.0
33,0.1674 $\pm$ 0.0,0.1331 $\pm$ 0.069,0.1027 $\pm$ 0.0486,0.1834 $\pm$ 0.0647,1.0 $\pm$ 0.0
34,0.713 $\pm$ 0.0,0.3988 $\pm$ 0.2107,0.3414 $\pm$ 0.1575,0.5623 $\pm$ 0.2051,3.527 $\pm$ 0.0
35,1.3519 $\pm$ 0.0,1.1325 $\pm$ 0.8146,0.8087 $\pm$ 0.5621,1.94 $\pm$ 0.8598,12.8259 $\pm$ 0.0
36,0.1244 $\pm$ 0.0,0.0803 $\pm$ 0.0557,0.058 $\pm$ 0.0356,0.1339 $\pm$ 0.059,1.0 $\pm$ 0.0
37,0.0891 $\pm$ 0.0,-0.0048 $\pm$ 0.089,-0.0305 $\pm$ 0.0678,0.0495 $\pm$ 0.0865,1.0 $\pm$ 0.0
38,0.1674 $\pm$ 0.0,0.1331 $\pm$ 0.069,0.1027 $\pm$ 0.0486,0.1834 $\pm$ 0.0647,1.0 $\pm$ 0.0
39,0.0891 $\pm$ 0.0,-0.0048 $\pm$ 0.089,-0.0305 $\pm$ 0.0678,0.0495 $\pm$ 0.0865,1.0 $\pm$ 0.0
40,0.072 $\pm$ 0.0,0.0256 $\pm$ 0.0631,0.0127 $\pm$ 0.0475,0.0406 $\pm$ 0.0536,0.4988 $\pm$ 0.0
41,0.1696 $\pm$ 0.0,0.1353 $\pm$ 0.0698,0.1045 $\pm$ 0.0488,0.185 $\pm$ 0.0647,1.0 $\pm$ 0.0
42,0.1696 $\pm$ 0.0,0.1353 $\pm$ 0.0698,0.1045 $\pm$ 0.0488,0.185 $\pm$ 0.0647,1.0 $\pm$ 0.0
43,0.3391 $\pm$ 0.0,0.2706 $\pm$ 0.1395,0.209 $\pm$ 0.0976,0.37 $\pm$ 0.1294,2.0 $\pm$ 0.0
44,0.3227 $\pm$ 0.0,0.1788 $\pm$ 0.189,0.1412 $\pm$ 0.1153,0.3322 $\pm$ 0.1713,2.6111 $\pm$ 0.0
45,0.1898 $\pm$ 0.0,0.1524 $\pm$ 0.0763,0.1175 $\pm$ 0.0529,0.1982 $\pm$ 0.0666,1.0 $\pm$ 0.0
46,0.1493 $\pm$ 0.0,0.1189 $\pm$ 0.0641,0.0922 $\pm$ 0.0472,0.1724 $\pm$ 0.0639,1.0 $\pm$ 0.0
47,-0.6659 $\pm$ 0.0,-0.8532 $\pm$ 0.3164,-0.6975 $\pm$ 0.3127,-0.9237 $\pm$ 0.247,-1.7778 $\pm$ 0.0
48,0.1296 $\pm$ 0.0,0.0749 $\pm$ 0.0828,0.0515 $\pm$ 0.0495,0.1238 $\pm$ 0.0711,1.0 $\pm$ 0.0
49,0.1865 $\pm$ 0.0,0.1736 $\pm$ 0.0747,0.1472 $\pm$ 0.0615,0.2236 $\pm$ 0.0628,1.0 $\pm$ 0.0
50,0.0649 $\pm$ 0.0,0.0481 $\pm$ 0.0215,0.0454 $\pm$ 0.0192,0.0651 $\pm$ 0.0171,0.3199 $\pm$ 0.0
51,1.3037 $\pm$ 0.0,0.8344 $\pm$ 0.7891,0.5829 $\pm$ 0.4934,1.7614 $\pm$ 0.9323,16.0 $\pm$ 0.0
52,0.0914 $\pm$ 0.0,0.079 $\pm$ 0.0472,0.0638 $\pm$ 0.0329,0.127 $\pm$ 0.0467,0.7071 $\pm$ 0.0
53,0.0352 $\pm$ 0.0,0.033 $\pm$ 0.0166,0.0276 $\pm$ 0.012,0.048 $\pm$ 0.0157,0.2425 $\pm$ 0.0
54,0.1129 $\pm$ 0.0,0.0668 $\pm$ 0.0695,0.0499 $\pm$ 0.0404,0.1255 $\pm$ 0.066,1.0 $\pm$ 0.0
55,0.1414 $\pm$ 0.0,0.0843 $\pm$ 0.1043,0.0579 $\pm$ 0.0678,0.1399 $\pm$ 0.0913,1.0 $\pm$ 0.0
56,888888889.287 $\pm$ 0.0,32432433.2528 $\pm$ 177639748.3604,91779585.0115 $\pm$ 364814712.4157,603287752.5818 $\pm$ 910078579.8864,16000000000.0 $\pm$ 0.0
57,0.1362 $\pm$ 0.0,0.1046 $\pm$ 0.0605,0.0815 $\pm$ 0.0404,0.1571 $\pm$ 0.0602,1.0 $\pm$ 0.0
58,2199887763.7835 $\pm$ 0.0,81540241.5622 $\pm$ 446614295.783,418004225.5557 $\pm$ 1875998435.5825,3183207765.9328 $\pm$ 5371052858.6598,76996071729.2018 $\pm$ 0.0
59,0.2566 $\pm$ 0.0,0.1537 $\pm$ 0.1503,0.1086 $\pm$ 0.0737,0.1387 $\pm$ 0.077,1.0383 $\pm$ 0.0
60,0.1362 $\pm$ 0.0,0.1046 $\pm$ 0.0605,0.0815 $\pm$ 0.0404,0.1571 $\pm$ 0.0602,1.0 $\pm$ 0.0
