Measurement,Base_to_1,Base_to_2,Base_to_4,Bast_to_8,Base_to_Base
15,2.3571 $\pm$ 0.0,1.5341 $\pm$ 0.5513,1.3277 $\pm$ 0.37,1.4952 $\pm$ 0.4548,0.0 $\pm$ 0.0
16,1.3603 $\pm$ 0.0,1.1392 $\pm$ 0.1334,1.0977 $\pm$ 0.1097,1.1519 $\pm$ 0.1293,0.0 $\pm$ 0.0
17,2.3571 $\pm$ 0.0,1.5341 $\pm$ 0.5513,1.3277 $\pm$ 0.37,1.4952 $\pm$ 0.4548,0.0 $\pm$ 0.0
18,2.3571 $\pm$ 0.0,1.5341 $\pm$ 0.5513,1.3277 $\pm$ 0.37,1.4952 $\pm$ 0.4548,0.0 $\pm$ 0.0
19,2.3571 $\pm$ 0.0,1.5341 $\pm$ 0.5513,1.3277 $\pm$ 0.37,1.4952 $\pm$ 0.4548,0.0 $\pm$ 0.0
20,0.8512 $\pm$ 0.0,0.9337 $\pm$ 0.0586,0.9369 $\pm$ 0.072,0.8715 $\pm$ 0.0861,0.0 $\pm$ 0.0
21,2.3571 $\pm$ 0.0,1.5341 $\pm$ 0.5513,1.3277 $\pm$ 0.37,1.4952 $\pm$ 0.4548,0.0 $\pm$ 0.0
22,2.3571 $\pm$ 0.0,1.5341 $\pm$ 0.5513,1.3277 $\pm$ 0.37,1.4952 $\pm$ 0.4548,0.0 $\pm$ 0.0
23,0.8021 $\pm$ 0.0,0.9205 $\pm$ 0.0691,0.9264 $\pm$ 0.0833,0.8553 $\pm$ 0.0974,0.0 $\pm$ 0.0
24,0.8073 $\pm$ 0.0,0.9203 $\pm$ 0.0694,0.9256 $\pm$ 0.0843,0.8537 $\pm$ 0.0985,0.0 $\pm$ 0.0
25,0.842 $\pm$ 0.0,0.9333 $\pm$ 0.0589,0.9362 $\pm$ 0.0726,0.8706 $\pm$ 0.0867,0.0 $\pm$ 0.0
26,0.7981 $\pm$ 0.0,0.9199 $\pm$ 0.0699,0.925 $\pm$ 0.0848,0.8528 $\pm$ 0.0992,0.0 $\pm$ 0.0
27,0.9337 $\pm$ 0.0,0.9785 $\pm$ 0.0223,0.9637 $\pm$ 0.0458,0.9124 $\pm$ 0.063,0.0 $\pm$ 0.0
28,0.9337 $\pm$ 0.0,0.9785 $\pm$ 0.0223,0.9637 $\pm$ 0.0458,0.9124 $\pm$ 0.063,0.0 $\pm$ 0.0
29,1.1308 $\pm$ 0.0,1.0588 $\pm$ 0.0517,1.0314 $\pm$ 0.0395,1.0371 $\pm$ 0.0412,0.0 $\pm$ 0.0
30,1.0297 $\pm$ 0.0,1.017 $\pm$ 0.0173,0.9996 $\pm$ 0.0152,0.9822 $\pm$ 0.0256,0.0 $\pm$ 0.0
62,0.9937 $\pm$ 0.0,0.9717 $\pm$ 0.0569,0.9593 $\pm$ 0.0776,0.8965 $\pm$ 0.0871,0.0 $\pm$ 0.0
