Measurement,Base_to_1,Base_to_2,Base_to_4,Bast_to_8,Base_to_Base
1,0.0479 $\pm$ 0.0,0.0126 $\pm$ 0.0134,0.0263 $\pm$ 0.0333,0.0664 $\pm$ 0.0488,1.0 $\pm$ 0.0
2,0.0663 $\pm$ 0.0,0.0215 $\pm$ 0.0223,0.0363 $\pm$ 0.0458,0.0876 $\pm$ 0.063,1.0 $\pm$ 0.0
3,0.0663 $\pm$ 0.0,0.0215 $\pm$ 0.0223,0.0363 $\pm$ 0.0458,0.0876 $\pm$ 0.063,1.0 $\pm$ 0.0
4,0.0773 $\pm$ 0.0,0.0281 $\pm$ 0.0286,0.042 $\pm$ 0.053,0.0985 $\pm$ 0.0701,1.0 $\pm$ 0.0
5,0.0663 $\pm$ 0.0,0.0215 $\pm$ 0.0223,0.0363 $\pm$ 0.0458,0.0876 $\pm$ 0.063,1.0 $\pm$ 0.0
6,0.0315 $\pm$ 0.0,0.0069 $\pm$ 0.0075,0.0173 $\pm$ 0.0222,0.0452 $\pm$ 0.034,1.0 $\pm$ 0.0
7,0.1488 $\pm$ 0.0,0.0663 $\pm$ 0.0586,0.0631 $\pm$ 0.072,0.1285 $\pm$ 0.0861,1.0 $\pm$ 0.0
8,0.175 $\pm$ 0.0,0.0739 $\pm$ 0.0646,0.0693 $\pm$ 0.0788,0.1382 $\pm$ 0.0929,1.0 $\pm$ 0.0
9,0.1154 $\pm$ 0.0,0.0555 $\pm$ 0.05,0.0537 $\pm$ 0.0617,0.1132 $\pm$ 0.0759,1.0 $\pm$ 0.0
10,0.0848 $\pm$ 0.0,0.0346 $\pm$ 0.0306,0.0357 $\pm$ 0.0409,0.0727 $\pm$ 0.0494,0.6518 $\pm$ 0.0
11,0.175 $\pm$ 0.0,0.0739 $\pm$ 0.0646,0.0693 $\pm$ 0.0788,0.1382 $\pm$ 0.0929,1.0 $\pm$ 0.0
12,0.5 $\pm$ 0.0,0.1192 $\pm$ 0.1388,0.24 $\pm$ 0.315,0.5797 $\pm$ 0.4933,7.2857 $\pm$ 0.0
13,3.5714 $\pm$ 0.0,2.3222 $\pm$ 2.0722,1.8346 $\pm$ 2.1096,3.8277 $\pm$ 2.5841,24.0 $\pm$ 0.0
