Measurement,Base_to_1,Base_to_2,Base_to_4,Bast_to_8,Base_to_Base
15,2.1538 $\pm$ 0.0,2.7908 $\pm$ 0.7777,2.4002 $\pm$ 0.8203,2.5543 $\pm$ 0.7585,0.0 $\pm$ 0.0
16,1.3508 $\pm$ 0.0,1.4693 $\pm$ 0.1991,1.3772 $\pm$ 0.2196,1.4243 $\pm$ 0.2071,0.0 $\pm$ 0.0
17,2.1538 $\pm$ 0.0,2.7908 $\pm$ 0.7777,2.4002 $\pm$ 0.8203,2.5543 $\pm$ 0.7585,0.0 $\pm$ 0.0
18,2.1538 $\pm$ 0.0,2.7908 $\pm$ 0.7777,2.4002 $\pm$ 0.8203,2.5543 $\pm$ 0.7585,0.0 $\pm$ 0.0
19,2.1538 $\pm$ 0.0,2.7908 $\pm$ 0.7777,2.4002 $\pm$ 0.8203,2.5543 $\pm$ 0.7585,0.0 $\pm$ 0.0
20,0.7587 $\pm$ 0.0,0.7839 $\pm$ 0.0938,0.8132 $\pm$ 0.1046,0.7757 $\pm$ 0.1002,0.0 $\pm$ 0.0
21,2.1538 $\pm$ 0.0,2.7908 $\pm$ 0.7777,2.4002 $\pm$ 0.8203,2.5543 $\pm$ 0.7585,0.0 $\pm$ 0.0
22,2.1538 $\pm$ 0.0,2.7908 $\pm$ 0.7777,2.4002 $\pm$ 0.8203,2.5543 $\pm$ 0.7585,0.0 $\pm$ 0.0
23,0.7089 $\pm$ 0.0,0.737 $\pm$ 0.1131,0.771 $\pm$ 0.1269,0.7256 $\pm$ 0.1187,0.0 $\pm$ 0.0
24,0.709 $\pm$ 0.0,0.7369 $\pm$ 0.1133,0.7716 $\pm$ 0.127,0.7263 $\pm$ 0.119,0.0 $\pm$ 0.0
25,0.7548 $\pm$ 0.0,0.7812 $\pm$ 0.0951,0.8101 $\pm$ 0.1058,0.7726 $\pm$ 0.1009,0.0 $\pm$ 0.0
26,0.705 $\pm$ 0.0,0.7342 $\pm$ 0.1147,0.7683 $\pm$ 0.1284,0.7231 $\pm$ 0.1199,0.0 $\pm$ 0.0
27,0.8352 $\pm$ 0.0,0.9114 $\pm$ 0.0515,0.9149 $\pm$ 0.0566,0.882 $\pm$ 0.0694,0.0 $\pm$ 0.0
28,0.8352 $\pm$ 0.0,0.9114 $\pm$ 0.0515,0.9149 $\pm$ 0.0566,0.882 $\pm$ 0.0694,0.0 $\pm$ 0.0
29,1.092 $\pm$ 0.0,1.1749 $\pm$ 0.075,1.1398 $\pm$ 0.0879,1.144 $\pm$ 0.0922,0.0 $\pm$ 0.0
30,0.9749 $\pm$ 0.0,1.0421 $\pm$ 0.0274,1.0277 $\pm$ 0.0333,1.0166 $\pm$ 0.0507,0.0 $\pm$ 0.0
62,0.7924 $\pm$ 0.0,0.8765 $\pm$ 0.088,0.8994 $\pm$ 0.0863,0.852 $\pm$ 0.1215,0.0 $\pm$ 0.0
