Measurement,Base_to_1,Base_to_2,Base_to_4,Bast_to_8,Base_to_Base
1,0.1231 $\pm$ 0.0,0.0555 $\pm$ 0.0352,0.0558 $\pm$ 0.0403,0.0806 $\pm$ 0.0545,1.0 $\pm$ 0.0
2,0.1648 $\pm$ 0.0,0.0886 $\pm$ 0.0515,0.0851 $\pm$ 0.0566,0.118 $\pm$ 0.0694,1.0 $\pm$ 0.0
3,0.1648 $\pm$ 0.0,0.0886 $\pm$ 0.0515,0.0851 $\pm$ 0.0566,0.118 $\pm$ 0.0694,1.0 $\pm$ 0.0
4,0.1888 $\pm$ 0.0,0.1117 $\pm$ 0.0619,0.1045 $\pm$ 0.0667,0.1421 $\pm$ 0.0785,1.0 $\pm$ 0.0
5,0.1648 $\pm$ 0.0,0.0886 $\pm$ 0.0515,0.0851 $\pm$ 0.0566,0.118 $\pm$ 0.0694,1.0 $\pm$ 0.0
6,0.0848 $\pm$ 0.0,0.0322 $\pm$ 0.022,0.0339 $\pm$ 0.0272,0.0518 $\pm$ 0.0429,1.0 $\pm$ 0.0
7,0.2413 $\pm$ 0.0,0.2161 $\pm$ 0.0938,0.1868 $\pm$ 0.1046,0.2243 $\pm$ 0.1002,1.0 $\pm$ 0.0
8,0.2696 $\pm$ 0.0,0.2429 $\pm$ 0.1048,0.2107 $\pm$ 0.1173,0.2526 $\pm$ 0.1107,1.0 $\pm$ 0.0
9,0.2009 $\pm$ 0.0,0.178 $\pm$ 0.0782,0.1534 $\pm$ 0.0868,0.1846 $\pm$ 0.0858,1.0 $\pm$ 0.0
10,0.1451 $\pm$ 0.0,0.1157 $\pm$ 0.0509,0.1018 $\pm$ 0.0576,0.1248 $\pm$ 0.0568,0.6538 $\pm$ 0.0
11,0.2696 $\pm$ 0.0,0.2429 $\pm$ 0.1048,0.2107 $\pm$ 0.1173,0.2526 $\pm$ 0.1107,1.0 $\pm$ 0.0
12,1.0769 $\pm$ 0.0,0.5505 $\pm$ 0.3379,0.5235 $\pm$ 0.3731,0.7331 $\pm$ 0.454,6.7692 $\pm$ 0.0
13,5.3077 $\pm$ 0.0,7.1817 $\pm$ 3.0959,5.4629 $\pm$ 3.1749,6.2717 $\pm$ 2.8553,22.0 $\pm$ 0.0
14,0.049 $\pm$ 0.0,0.0171 $\pm$ 0.0115,0.0184 $\pm$ 0.0135,0.0268 $\pm$ 0.0174,0.3077 $\pm$ 0.0
31,0.0304 $\pm$ 0.0,0.0182 $\pm$ 0.0112,0.0178 $\pm$ 0.0112,0.0228 $\pm$ 0.0139,0.2866 $\pm$ 0.0
32,0.2158 $\pm$ 0.0,-0.0111 $\pm$ 0.5251,-0.2907 $\pm$ 0.7817,-0.0764 $\pm$ 1.086,1.6766 $\pm$ 0.0
33,0.1685 $\pm$ 0.0,0.0914 $\pm$ 0.0531,0.0883 $\pm$ 0.0576,0.1206 $\pm$ 0.0701,1.0 $\pm$ 0.0
34,0.6682 $\pm$ 0.0,0.5928 $\pm$ 0.3441,0.5081 $\pm$ 0.3151,0.6337 $\pm$ 0.3872,6.3059 $\pm$ 0.0
35,1.7724 $\pm$ 0.0,0.7009 $\pm$ 0.609,0.757 $\pm$ 0.6871,1.1772 $\pm$ 1.0812,17.526 $\pm$ 0.0
36,0.1077 $\pm$ 0.0,0.0364 $\pm$ 0.0297,0.041 $\pm$ 0.0347,0.0616 $\pm$ 0.0508,1.0 $\pm$ 0.0
37,0.0371 $\pm$ 0.0,-0.0893 $\pm$ 0.0612,-0.0589 $\pm$ 0.0684,-0.0445 $\pm$ 0.0877,1.0 $\pm$ 0.0
38,0.1685 $\pm$ 0.0,0.0914 $\pm$ 0.0531,0.0883 $\pm$ 0.0576,0.1206 $\pm$ 0.0701,1.0 $\pm$ 0.0
