Measurement,Base_to_1,Base_to_2,Base_to_4,Bast_to_8,Base_to_Base
15,1.3947 $\pm$ 0.0,3.1296 $\pm$ 0.7345,2.6681 $\pm$ 0.6224,2.4794 $\pm$ 0.6704,0.0 $\pm$ 0.0
16,1.0769 $\pm$ 0.0,1.5546 $\pm$ 0.1748,1.4533 $\pm$ 0.1616,1.387 $\pm$ 0.205,0.0 $\pm$ 0.0
17,1.3947 $\pm$ 0.0,3.1296 $\pm$ 0.7345,2.6681 $\pm$ 0.6224,2.4794 $\pm$ 0.6704,0.0 $\pm$ 0.0
18,1.3947 $\pm$ 0.0,3.1296 $\pm$ 0.7345,2.6681 $\pm$ 0.6224,2.4794 $\pm$ 0.6704,0.0 $\pm$ 0.0
19,1.3947 $\pm$ 0.0,3.1296 $\pm$ 0.7345,2.6681 $\pm$ 0.6224,2.4794 $\pm$ 0.6704,0.0 $\pm$ 0.0
20,0.7621 $\pm$ 0.0,0.7483 $\pm$ 0.0715,0.734 $\pm$ 0.0842,0.7112 $\pm$ 0.0968,0.0 $\pm$ 0.0
21,1.3947 $\pm$ 0.0,3.1296 $\pm$ 0.7345,2.6681 $\pm$ 0.6224,2.4794 $\pm$ 0.6704,0.0 $\pm$ 0.0
22,1.3947 $\pm$ 0.0,3.1296 $\pm$ 0.7345,2.6681 $\pm$ 0.6224,2.4794 $\pm$ 0.6704,0.0 $\pm$ 0.0
23,0.7432 $\pm$ 0.0,0.6938 $\pm$ 0.0844,0.687 $\pm$ 0.0943,0.6674 $\pm$ 0.1111,0.0 $\pm$ 0.0
24,0.741 $\pm$ 0.0,0.6938 $\pm$ 0.0848,0.686 $\pm$ 0.0951,0.6658 $\pm$ 0.1118,0.0 $\pm$ 0.0
25,0.7608 $\pm$ 0.0,0.7432 $\pm$ 0.0722,0.7291 $\pm$ 0.0844,0.7069 $\pm$ 0.098,0.0 $\pm$ 0.0
26,0.7396 $\pm$ 0.0,0.6884 $\pm$ 0.0862,0.6808 $\pm$ 0.0957,0.6613 $\pm$ 0.1133,0.0 $\pm$ 0.0
27,0.818 $\pm$ 0.0,0.866 $\pm$ 0.0511,0.8346 $\pm$ 0.0688,0.7916 $\pm$ 0.0767,0.0 $\pm$ 0.0
28,0.818 $\pm$ 0.0,0.866 $\pm$ 0.0511,0.8346 $\pm$ 0.0688,0.7916 $\pm$ 0.0767,0.0 $\pm$ 0.0
29,0.9673 $\pm$ 0.0,1.16 $\pm$ 0.0622,1.1112 $\pm$ 0.0639,1.0509 $\pm$ 0.0861,0.0 $\pm$ 0.0
30,0.8998 $\pm$ 0.0,1.0181 $\pm$ 0.0323,0.9823 $\pm$ 0.0478,0.9343 $\pm$ 0.0598,0.0 $\pm$ 0.0
62,0.7604 $\pm$ 0.0,0.8282 $\pm$ 0.0972,0.783 $\pm$ 0.0953,0.7401 $\pm$ 0.0916,0.0 $\pm$ 0.0
