Measurement,Base_to_1,Base_to_2,Base_to_4,Bast_to_8,Base_to_Base
1,0.1557 $\pm$ 0.0,0.0904 $\pm$ 0.0378,0.1212 $\pm$ 0.0587,0.1643 $\pm$ 0.0669,1.0 $\pm$ 0.0
2,0.182 $\pm$ 0.0,0.134 $\pm$ 0.0511,0.1654 $\pm$ 0.0688,0.2084 $\pm$ 0.0767,1.0 $\pm$ 0.0
3,0.182 $\pm$ 0.0,0.134 $\pm$ 0.0511,0.1654 $\pm$ 0.0688,0.2084 $\pm$ 0.0767,1.0 $\pm$ 0.0
4,0.1974 $\pm$ 0.0,0.161 $\pm$ 0.0582,0.191 $\pm$ 0.0743,0.2329 $\pm$ 0.0826,1.0 $\pm$ 0.0
5,0.182 $\pm$ 0.0,0.134 $\pm$ 0.0511,0.1654 $\pm$ 0.0688,0.2084 $\pm$ 0.0767,1.0 $\pm$ 0.0
6,0.1323 $\pm$ 0.0,0.0555 $\pm$ 0.0252,0.0821 $\pm$ 0.0488,0.1232 $\pm$ 0.0593,1.0 $\pm$ 0.0
7,0.2379 $\pm$ 0.0,0.2517 $\pm$ 0.0715,0.266 $\pm$ 0.0842,0.2888 $\pm$ 0.0968,1.0 $\pm$ 0.0
8,0.2494 $\pm$ 0.0,0.2828 $\pm$ 0.0788,0.2931 $\pm$ 0.09,0.3143 $\pm$ 0.105,1.0 $\pm$ 0.0
9,0.2196 $\pm$ 0.0,0.2077 $\pm$ 0.0614,0.2265 $\pm$ 0.0758,0.2513 $\pm$ 0.0851,1.0 $\pm$ 0.0
10,0.1447 $\pm$ 0.0,0.1399 $\pm$ 0.0403,0.1513 $\pm$ 0.0497,0.1667 $\pm$ 0.0573,0.6508 $\pm$ 0.0
11,0.2494 $\pm$ 0.0,0.2828 $\pm$ 0.0788,0.2931 $\pm$ 0.09,0.3143 $\pm$ 0.105,1.0 $\pm$ 0.0
12,1.4211 $\pm$ 0.0,1.0174 $\pm$ 0.429,1.2031 $\pm$ 0.5568,1.4459 $\pm$ 0.6086,7.8421 $\pm$ 0.0
13,6.1842 $\pm$ 0.0,8.5918 $\pm$ 2.6226,8.5464 $\pm$ 2.9587,8.9866 $\pm$ 3.0071,26.0 $\pm$ 0.0
14,0.0547 $\pm$ 0.0,0.0299 $\pm$ 0.0124,0.0379 $\pm$ 0.0181,0.047 $\pm$ 0.0206,0.3016 $\pm$ 0.0
31,0.0324 $\pm$ 0.0,0.0218 $\pm$ 0.0093,0.0288 $\pm$ 0.0116,0.0406 $\pm$ 0.0185,0.2397 $\pm$ 0.0
32,0.299 $\pm$ 0.0,-0.297 $\pm$ 0.9084,-0.0855 $\pm$ 0.6254,0.0905 $\pm$ 0.4708,1.61 $\pm$ 0.0
33,0.1864 $\pm$ 0.0,0.1384 $\pm$ 0.0517,0.1707 $\pm$ 0.0693,0.2122 $\pm$ 0.0772,1.0 $\pm$ 0.0
34,0.8432 $\pm$ 0.0,0.7441 $\pm$ 0.3278,0.9224 $\pm$ 0.3956,1.2505 $\pm$ 0.5525,6.2322 $\pm$ 0.0
