Measurement,Base_to_1,Base_to_2,Base_to_4,Bast_to_8,Base_to_Base
15,1.9 $\pm$ 0.0,1.4069 $\pm$ 0.6025,1.3076 $\pm$ 0.3371,1.3322 $\pm$ 0.3733,0.0 $\pm$ 0.0
16,1.1882 $\pm$ 0.0,1.1185 $\pm$ 0.172,1.095 $\pm$ 0.1087,1.1006 $\pm$ 0.1097,0.0 $\pm$ 0.0
17,1.9 $\pm$ 0.0,1.4069 $\pm$ 0.6025,1.3076 $\pm$ 0.3371,1.3322 $\pm$ 0.3733,0.0 $\pm$ 0.0
18,1.9 $\pm$ 0.0,1.4069 $\pm$ 0.6025,1.3076 $\pm$ 0.3371,1.3322 $\pm$ 0.3733,0.0 $\pm$ 0.0
19,1.9 $\pm$ 0.0,1.4069 $\pm$ 0.6025,1.3076 $\pm$ 0.3371,1.3322 $\pm$ 0.3733,0.0 $\pm$ 0.0
20,0.775 $\pm$ 0.0,0.9419 $\pm$ 0.0797,0.9207 $\pm$ 0.0843,0.9389 $\pm$ 0.0689,0.0 $\pm$ 0.0
21,1.9 $\pm$ 0.0,1.4069 $\pm$ 0.6025,1.3076 $\pm$ 0.3371,1.3322 $\pm$ 0.3733,0.0 $\pm$ 0.0
22,1.9 $\pm$ 0.0,1.4069 $\pm$ 0.6025,1.3076 $\pm$ 0.3371,1.3322 $\pm$ 0.3733,0.0 $\pm$ 0.0
23,0.7188 $\pm$ 0.0,0.9209 $\pm$ 0.109,0.9028 $\pm$ 0.1004,0.9207 $\pm$ 0.0875,0.0 $\pm$ 0.0
24,0.7289 $\pm$ 0.0,0.9235 $\pm$ 0.1053,0.9033 $\pm$ 0.1005,0.9222 $\pm$ 0.0859,0.0 $\pm$ 0.0
25,0.7742 $\pm$ 0.0,0.9415 $\pm$ 0.0804,0.9204 $\pm$ 0.0845,0.9388 $\pm$ 0.0691,0.0 $\pm$ 0.0
26,0.7281 $\pm$ 0.0,0.9231 $\pm$ 0.1061,0.9031 $\pm$ 0.1008,0.9221 $\pm$ 0.0861,0.0 $\pm$ 0.0
27,0.8714 $\pm$ 0.0,0.9879 $\pm$ 0.0211,0.9599 $\pm$ 0.0522,0.9766 $\pm$ 0.0382,0.0 $\pm$ 0.0
28,0.8714 $\pm$ 0.0,0.9879 $\pm$ 0.0211,0.9599 $\pm$ 0.0522,0.9766 $\pm$ 0.0382,0.0 $\pm$ 0.0
29,1.0687 $\pm$ 0.0,1.0724 $\pm$ 0.1042,1.0523 $\pm$ 0.0687,1.0573 $\pm$ 0.066,0.0 $\pm$ 0.0
30,0.9607 $\pm$ 0.0,1.026 $\pm$ 0.0398,1.0068 $\pm$ 0.0358,1.0155 $\pm$ 0.0259,0.0 $\pm$ 0.0
62,0.975 $\pm$ 0.0,1.0354 $\pm$ 0.0892,0.9536 $\pm$ 0.0853,1.0033 $\pm$ 0.0843,0.0 $\pm$ 0.0
