Measurement,Base_to_1,Base_to_2,Base_to_4,Bast_to_8,Base_to_Base
1,0.1167 $\pm$ 0.0,0.0075 $\pm$ 0.0131,0.0276 $\pm$ 0.041,0.016 $\pm$ 0.0274,1.0 $\pm$ 0.0
2,0.1286 $\pm$ 0.0,0.0121 $\pm$ 0.0211,0.0401 $\pm$ 0.0522,0.0234 $\pm$ 0.0382,1.0 $\pm$ 0.0
3,0.1286 $\pm$ 0.0,0.0121 $\pm$ 0.0211,0.0401 $\pm$ 0.0522,0.0234 $\pm$ 0.0382,1.0 $\pm$ 0.0
4,0.1375 $\pm$ 0.0,0.0154 $\pm$ 0.0266,0.0484 $\pm$ 0.0602,0.028 $\pm$ 0.0445,1.0 $\pm$ 0.0
5,0.1286 $\pm$ 0.0,0.0121 $\pm$ 0.0211,0.0401 $\pm$ 0.0522,0.0234 $\pm$ 0.0382,1.0 $\pm$ 0.0
6,0.1091 $\pm$ 0.0,0.0042 $\pm$ 0.0075,0.0183 $\pm$ 0.0342,0.01 $\pm$ 0.0178,1.0 $\pm$ 0.0
7,0.225 $\pm$ 0.0,0.0581 $\pm$ 0.0797,0.0793 $\pm$ 0.0843,0.0611 $\pm$ 0.0689,1.0 $\pm$ 0.0
8,0.2535 $\pm$ 0.0,0.0692 $\pm$ 0.0951,0.0893 $\pm$ 0.0934,0.0709 $\pm$ 0.0789,1.0 $\pm$ 0.0
9,0.1915 $\pm$ 0.0,0.0443 $\pm$ 0.0606,0.0655 $\pm$ 0.0715,0.0482 $\pm$ 0.0559,1.0 $\pm$ 0.0
10,0.1281 $\pm$ 0.0,0.0303 $\pm$ 0.0414,0.0434 $\pm$ 0.0467,0.033 $\pm$ 0.0378,0.6094 $\pm$ 0.0
11,0.2535 $\pm$ 0.0,0.0692 $\pm$ 0.0951,0.0893 $\pm$ 0.0934,0.0709 $\pm$ 0.0789,1.0 $\pm$ 0.0
12,0.5 $\pm$ 0.0,0.0421 $\pm$ 0.0748,0.1284 $\pm$ 0.1697,0.0846 $\pm$ 0.1368,3.5 $\pm$ 0.0
13,3.6 $\pm$ 0.0,1.0272 $\pm$ 1.4328,1.3722 $\pm$ 1.4752,1.0475 $\pm$ 1.1801,16.0 $\pm$ 0.0
14,0.0312 $\pm$ 0.0,0.0024 $\pm$ 0.0043,0.0074 $\pm$ 0.01,0.005 $\pm$ 0.008,0.2188 $\pm$ 0.0
31,0.0333 $\pm$ 0.0,0.0036 $\pm$ 0.0064,0.0131 $\pm$ 0.0168,0.0066 $\pm$ 0.0112,0.3 $\pm$ 0.0
32,-1.8762 $\pm$ 0.0,-1.0116 $\pm$ 1.8211,-0.1464 $\pm$ 0.7096,-0.6382 $\pm$ 1.3406,1.5419 $\pm$ 0.0
33,0.1289 $\pm$ 0.0,0.0122 $\pm$ 0.0213,0.0405 $\pm$ 0.0524,0.0235 $\pm$ 0.0383,1.0 $\pm$ 0.0
34,0.5333 $\pm$ 0.0,0.0633 $\pm$ 0.1134,0.2272 $\pm$ 0.2864,0.1125 $\pm$ 0.1889,4.8 $\pm$ 0.0
35,1.2917 $\pm$ 0.0,0.053 $\pm$ 0.0938,0.1714 $\pm$ 0.3766,0.1254 $\pm$ 0.2328,11.5833 $\pm$ 0.0
36,0.1083 $\pm$ 0.0,0.0045 $\pm$ 0.0085,0.0205 $\pm$ 0.0362,0.0122 $\pm$ 0.0231,1.0 $\pm$ 0.0
37,-0.0417 $\pm$ 0.0,-0.0614 $\pm$ 0.0952,-0.0215 $\pm$ 0.053,-0.0381 $\pm$ 0.062,1.0 $\pm$ 0.0
38,0.1289 $\pm$ 0.0,0.0122 $\pm$ 0.0213,0.0405 $\pm$ 0.0524,0.0235 $\pm$ 0.0383,1.0 $\pm$ 0.0
39,-0.0417 $\pm$ 0.0,-0.0614 $\pm$ 0.0952,-0.0215 $\pm$ 0.053,-0.0381 $\pm$ 0.062,1.0 $\pm$ 0.0
40,-0.0257 $\pm$ 0.0,-0.0419 $\pm$ 0.0892,0.0243 $\pm$ 0.0612,-0.0163 $\pm$ 0.0727,0.643 $\pm$ 0.0
41,0.1292 $\pm$ 0.0,0.0123 $\pm$ 0.0214,0.0409 $\pm$ 0.0527,0.0236 $\pm$ 0.0385,1.0 $\pm$ 0.0
42,0.1292 $\pm$ 0.0,0.0123 $\pm$ 0.0214,0.0409 $\pm$ 0.0527,0.0236 $\pm$ 0.0385,1.0 $\pm$ 0.0
43,0.2583 $\pm$ 0.0,0.0246 $\pm$ 0.0429,0.0817 $\pm$ 0.1054,0.0472 $\pm$ 0.077,2.0 $\pm$ 0.0
44,0.2423 $\pm$ 0.0,-0.0168 $\pm$ 0.0727,0.0887 $\pm$ 0.1502,0.0263 $\pm$ 0.1074,3.125 $\pm$ 0.0
45,0.1333 $\pm$ 0.0,0.0135 $\pm$ 0.0234,0.0454 $\pm$ 0.0565,0.0252 $\pm$ 0.0408,1.0 $\pm$ 0.0
46,0.125 $\pm$ 0.0,0.0112 $\pm$ 0.0197,0.0364 $\pm$ 0.0493,0.0221 $\pm$ 0.0364,1.0 $\pm$ 0.0
47,-0.4711 $\pm$ 0.0,-0.1531 $\pm$ 0.2234,-0.1453 $\pm$ 0.1482,-0.1345 $\pm$ 0.146,-0.75 $\pm$ 0.0
48,0.0778 $\pm$ 0.0,-0.007 $\pm$ 0.026,0.0296 $\pm$ 0.0495,0.0089 $\pm$ 0.0347,1.0 $\pm$ 0.0
49,0.1905 $\pm$ 0.0,0.0405 $\pm$ 0.0552,0.0646 $\pm$ 0.0711,0.0469 $\pm$ 0.0557,1.0 $\pm$ 0.0
50,0.0796 $\pm$ 0.0,0.0223 $\pm$ 0.0302,0.0314 $\pm$ 0.0335,0.0226 $\pm$ 0.0258,0.3802 $\pm$ 0.0
51,1.7368 $\pm$ 0.0,0.0788 $\pm$ 0.1212,0.2387 $\pm$ 0.5041,0.1531 $\pm$ 0.2969,16.0 $\pm$ 0.0
52,0.1066 $\pm$ 0.0,0.0179 $\pm$ 0.0256,0.029 $\pm$ 0.0347,0.022 $\pm$ 0.0316,0.7071 $\pm$ 0.0
