Measurement,Base_to_1,Base_to_2,Base_to_4,Bast_to_8,Base_to_Base
1,0.1613 $\pm$ 0.0,0.0325 $\pm$ 0.0147,0.0467 $\pm$ 0.0312,0.0521 $\pm$ 0.0263,1.0 $\pm$ 0.0
2,0.202 $\pm$ 0.0,0.0575 $\pm$ 0.0248,0.08 $\pm$ 0.0494,0.0892 $\pm$ 0.0418,1.0 $\pm$ 0.0
3,0.202 $\pm$ 0.0,0.0575 $\pm$ 0.0248,0.08 $\pm$ 0.0494,0.0892 $\pm$ 0.0418,1.0 $\pm$ 0.0
4,0.2242 $\pm$ 0.0,0.0776 $\pm$ 0.0322,0.1056 $\pm$ 0.0617,0.1176 $\pm$ 0.0524,1.0 $\pm$ 0.0
5,0.202 $\pm$ 0.0,0.0575 $\pm$ 0.0248,0.08 $\pm$ 0.0494,0.0892 $\pm$ 0.0418,1.0 $\pm$ 0.0
6,0.1206 $\pm$ 0.0,0.0174 $\pm$ 0.0081,0.0256 $\pm$ 0.018,0.0286 $\pm$ 0.0152,1.0 $\pm$ 0.0
7,0.2822 $\pm$ 0.0,0.3393 $\pm$ 0.03,0.3711 $\pm$ 0.1217,0.3665 $\pm$ 0.1002,1.0 $\pm$ 0.0
8,0.2974 $\pm$ 0.0,0.3662 $\pm$ 0.0321,0.3987 $\pm$ 0.1273,0.397 $\pm$ 0.1087,1.0 $\pm$ 0.0
9,0.2571 $\pm$ 0.0,0.2966 $\pm$ 0.0267,0.3271 $\pm$ 0.1127,0.3185 $\pm$ 0.0873,1.0 $\pm$ 0.0
10,0.1595 $\pm$ 0.0,0.1716 $\pm$ 0.0154,0.1883 $\pm$ 0.0616,0.1872 $\pm$ 0.0514,0.609 $\pm$ 0.0
11,0.2974 $\pm$ 0.0,0.3662 $\pm$ 0.0321,0.3987 $\pm$ 0.1273,0.397 $\pm$ 0.1087,1.0 $\pm$ 0.0
12,2.9348 $\pm$ 0.0,0.7011 $\pm$ 0.2743,0.9042 $\pm$ 0.5203,1.1178 $\pm$ 0.5658,15.6957 $\pm$ 0.0
13,20.3152 $\pm$ 0.0,34.3551 $\pm$ 3.2437,37.3551 $\pm$ 12.5143,37.5236 $\pm$ 10.5829,72.0 $\pm$ 0.0
14,0.0408 $\pm$ 0.0,0.007 $\pm$ 0.0028,0.0091 $\pm$ 0.0055,0.0111 $\pm$ 0.006,0.218 $\pm$ 0.0
31,0.0181 $\pm$ 0.0,0.0062 $\pm$ 0.003,0.0101 $\pm$ 0.0089,0.0091 $\pm$ 0.0051,0.3105 $\pm$ 0.0
32,0.4376 $\pm$ 0.0,-1.8173 $\pm$ 1.8093,-1.3481 $\pm$ 1.8676,-0.7566 $\pm$ 0.9179,2.7794 $\pm$ 0.0
33,0.2054 $\pm$ 0.0,0.0599 $\pm$ 0.0257,0.0827 $\pm$ 0.05,0.0932 $\pm$ 0.0433,1.0 $\pm$ 0.0
34,1.3058 $\pm$ 0.0,0.628 $\pm$ 0.2921,1.0066 $\pm$ 0.8997,0.9279 $\pm$ 0.514,22.3563 $\pm$ 0.0
35,9.4276 $\pm$ 0.0,1.0042 $\pm$ 0.5646,1.6557 $\pm$ 1.4076,1.9748 $\pm$ 1.4378,66.7107 $\pm$ 0.0
36,0.1483 $\pm$ 0.0,0.014 $\pm$ 0.0084,0.0234 $\pm$ 0.0212,0.027 $\pm$ 0.019,1.0 $\pm$ 0.0
37,0.1078 $\pm$ 0.0,-0.273 $\pm$ 0.0544,-0.2597 $\pm$ 0.1041,-0.2374 $\pm$ 0.0822,1.0 $\pm$ 0.0
38,0.2054 $\pm$ 0.0,0.0599 $\pm$ 0.0257,0.0827 $\pm$ 0.05,0.0932 $\pm$ 0.0433,1.0 $\pm$ 0.0
39,0.1078 $\pm$ 0.0,-0.273 $\pm$ 0.0544,-0.2597 $\pm$ 0.1041,-0.2374 $\pm$ 0.0822,1.0 $\pm$ 0.0
40,0.1872 $\pm$ 0.0,-0.0169 $\pm$ 0.1312,0.0423 $\pm$ 0.1572,0.0787 $\pm$ 0.0997,0.8397 $\pm$ 0.0
41,0.2115 $\pm$ 0.0,0.0627 $\pm$ 0.0269,0.0861 $\pm$ 0.0509,0.0981 $\pm$ 0.0456,1.0 $\pm$ 0.0
42,0.2115 $\pm$ 0.0,0.0627 $\pm$ 0.0269,0.0861 $\pm$ 0.0509,0.0981 $\pm$ 0.0456,1.0 $\pm$ 0.0
43,0.423 $\pm$ 0.0,0.1254 $\pm$ 0.0538,0.1722 $\pm$ 0.1017,0.1963 $\pm$ 0.0911,2.0 $\pm$ 0.0
44,1.3214 $\pm$ 0.0,0.2169 $\pm$ 0.238,0.4113 $\pm$ 0.4317,0.4844 $\pm$ 0.356,7.6962 $\pm$ 0.0
45,0.2524 $\pm$ 0.0,0.0779 $\pm$ 0.0339,0.1051 $\pm$ 0.0603,0.1245 $\pm$ 0.0585,1.0 $\pm$ 0.0
46,0.182 $\pm$ 0.0,0.0492 $\pm$ 0.0219,0.0704 $\pm$ 0.0461,0.0753 $\pm$ 0.0372,1.0 $\pm$ 0.0
47,-1.7189 $\pm$ 0.0,-2.1118 $\pm$ 0.2872,-2.2322 $\pm$ 0.7141,-2.5832 $\pm$ 0.8899,-2.3478 $\pm$ 0.0
48,0.2354 $\pm$ 0.0,0.0327 $\pm$ 0.036,0.0585 $\pm$ 0.057,0.0755 $\pm$ 0.0563,1.0 $\pm$ 0.0
49,0.2531 $\pm$ 0.0,0.214 $\pm$ 0.0247,0.2412 $\pm$ 0.0815,0.2446 $\pm$ 0.071,1.0 $\pm$ 0.0
50,0.0445 $\pm$ 0.0,0.0546 $\pm$ 0.0057,0.07 $\pm$ 0.0391,0.0552 $\pm$ 0.021,0.326 $\pm$ 0.0
51,9.3954 $\pm$ 0.0,0.7095 $\pm$ 0.4261,1.3802 $\pm$ 1.6515,1.5293 $\pm$ 1.351,72.0 $\pm$ 0.0
52,0.1542 $\pm$ 0.0,0.0458 $\pm$ 0.0141,0.0622 $\pm$ 0.0393,0.0663 $\pm$ 0.0336,0.7071 $\pm$ 0.0
53,0.0279 $\pm$ 0.0,0.013 $\pm$ 0.0024,0.0157 $\pm$ 0.0071,0.0162 $\pm$ 0.0061,0.117 $\pm$ 0.0
54,0.1881 $\pm$ 0.0,0.0246 $\pm$ 0.0266,0.0459 $\pm$ 0.0473,0.0544 $\pm$ 0.0399,1.0 $\pm$ 0.0
55,0.2691 $\pm$ 0.0,-0.008 $\pm$ 0.1365,0.0561 $\pm$ 0.1662,0.0994 $\pm$ 0.1116,1.0 $\pm$ 0.0
56,4.002 $\pm$ 0.0,2.5915 $\pm$ 0.2997,3.3616 $\pm$ 2.1142,2.6242 $\pm$ 0.827,72000000000.0 $\pm$ 0.0
57,0.195 $\pm$ 0.0,0.0537 $\pm$ 0.0237,0.0752 $\pm$ 0.0472,0.0841 $\pm$ 0.0401,1.0 $\pm$ 0.0
58,0.431 $\pm$ 0.0,0.0356 $\pm$ 0.0384,0.0678 $\pm$ 0.0718,0.0802 $\pm$ 0.0607,1220958204697.5024 $\pm$ 0.0
59,0.2425 $\pm$ 0.0,0.3482 $\pm$ 0.1657,0.6342 $\pm$ 0.6583,0.381 $\pm$ 0.4093,6.0592 $\pm$ 0.0
60,0.195 $\pm$ 0.0,0.0537 $\pm$ 0.0237,0.0752 $\pm$ 0.0472,0.0841 $\pm$ 0.0401,1.0 $\pm$ 0.0
61,0.2835 $\pm$ 0.0,0.0105 $\pm$ 0.1469,0.0796 $\pm$ 0.1779,0.1262 $\pm$ 0.1212,1.0 $\pm$ 0.0
63,0.2213 $\pm$ 0.0,-0.0388 $\pm$ 0.1191,0.013 $\pm$ 0.1413,0.0514 $\pm$ 0.0897,1.0 $\pm$ 0.0
64,0.5939 $\pm$ 0.0,0.0377 $\pm$ 0.0182,0.0569 $\pm$ 0.043,0.0636 $\pm$ 0.0363,15695652173.913 $\pm$ 0.0
65,0.1613 $\pm$ 0.0,0.0325 $\pm$ 0.0147,0.0467 $\pm$ 0.0312,0.0521 $\pm$ 0.0263,1.0 $\pm$ 0.0
66,0.0287 $\pm$ 0.0,0.0024 $\pm$ 0.0024,0.004 $\pm$ 0.0038,0.0053 $\pm$ 0.0038,0.1665 $\pm$ 0.0
67,0.2491 $\pm$ 0.0,0.2803 $\pm$ 0.0262,0.3103 $\pm$ 0.111,0.2993 $\pm$ 0.0825,1.0 $\pm$ 0.0
68,0.1404 $\pm$ 0.0,0.0139 $\pm$ 0.0132,0.0222 $\pm$ 0.0211,0.0296 $\pm$ 0.0216,0.6662 $\pm$ 0.0
69,0.1252 $\pm$ 0.0,0.0003 $\pm$ 0.0008,0.001 $\pm$ 0.0025,0.0031 $\pm$ 0.0076,1.0 $\pm$ 0.0
70,0.0276 $\pm$ 0.0,0.0 $\pm$ 0.0001,0.0001 $\pm$ 0.0003,0.0003 $\pm$ 0.0007,0.218 $\pm$ 0.0
71,0.2427 $\pm$ 0.0,0.1355 $\pm$ 0.0487,0.1732 $\pm$ 0.0857,0.1863 $\pm$ 0.0701,1.0 $\pm$ 0.0
72,0.1701 $\pm$ 0.0,-0.1273 $\pm$ 0.0947,-0.0855 $\pm$ 0.1246,-0.0611 $\pm$ 0.0765,1.0 $\pm$ 0.0
73,0.1261 $\pm$ 0.0,0.0466 $\pm$ 0.006,0.0496 $\pm$ 0.0173,0.0613 $\pm$ 0.0245,0.3491 $\pm$ 0.0
74,1.4143 $\pm$ 0.0,0.2832 $\pm$ 0.3434,0.6724 $\pm$ 0.9205,0.6167 $\pm$ 0.5334,23.469 $\pm$ 0.0
75,8.0501 $\pm$ 0.0,0.7372 $\pm$ 0.3805,1.3589 $\pm$ 1.542,1.382 $\pm$ 1.3355,863347826086.9563 $\pm$ 0.0
76,8.0501 $\pm$ 0.0,0.7372 $\pm$ 0.3805,1.3589 $\pm$ 1.542,1.382 $\pm$ 1.3355,863347826086.9563 $\pm$ 0.0
