Reverse_Adult,0.0 $\pm$ 0.0,0.0 $\pm$ 0.0,0.0 $\pm$ 0.0,0.0 $\pm$ 0.0,0.0 $\pm$ 0.0,1
Reverse_Bank,0.0 $\pm$ 0.0,0.0 $\pm$ 0.0,0.0 $\pm$ 0.0,0.0 $\pm$ 0.0,0.0 $\pm$ 0.0,1
Reverse_Cardio,0.0 $\pm$ 0.0,0.0 $\pm$ 0.0,0.0 $\pm$ 0.0,0.0 $\pm$ 0.0,0.0 $\pm$ 0.0,1
Reverse_Chess,0.0 $\pm$ 0.0,0.0 $\pm$ 0.0,0.0 $\pm$ 0.0,0.0 $\pm$ 0.0,0.0 $\pm$ 0.0,1
Reverse_Credit,0.0 $\pm$ 0.0,0.0 $\pm$ 0.0,0.0 $\pm$ 0.0,0.0 $\pm$ 0.0,0.0 $\pm$ 0.0,1
Reverse_Diamonds,0.0 $\pm$ 0.0,0.0 $\pm$ 0.0,0.0 $\pm$ 0.0,0.0 $\pm$ 0.0,0.0 $\pm$ 0.0,1
Reverse_Gamma,0.0 $\pm$ 0.0,0.0 $\pm$ 0.0,0.0 $\pm$ 0.0,0.0 $\pm$ 0.0,0.0 $\pm$ 0.0,1
Reverse_PokerPart,0.0 $\pm$ 0.0,0.0 $\pm$ 0.0,0.0 $\pm$ 0.0,0.0 $\pm$ 0.0,0.0 $\pm$ 0.0,1
Feature_0_Adult,2.5936 $\pm$ 0.0,1.2991 $\pm$ 0.0048,0.6496 $\pm$ 0.0045,0.3256 $\pm$ 0.0028,0.0 $\pm$ 0.0,5
Feature_0_Bank,2.9238 $\pm$ 0.0,1.4624 $\pm$ 0.0045,0.7315 $\pm$ 0.0044,0.3658 $\pm$ 0.0033,0.0 $\pm$ 0.0,5
Feature_0_Cardio,0.8286 $\pm$ 0.0,0.4143 $\pm$ 0.0013,0.2071 $\pm$ 0.0008,0.1035 $\pm$ 0.0009,0.0 $\pm$ 0.0,5
Feature_0_Chess,1.1594 $\pm$ 0.0,0.5803 $\pm$ 0.0028,0.2898 $\pm$ 0.0025,0.1443 $\pm$ 0.0023,0.0 $\pm$ 0.0,5
Feature_0_Credit,0.7386 $\pm$ 0.0,0.3707 $\pm$ 0.0035,0.185 $\pm$ 0.0034,0.0924 $\pm$ 0.0023,0.0 $\pm$ 0.0,5
Feature_0_Diamonds,0.4626 $\pm$ 0.0,0.2315 $\pm$ 0.0017,0.1155 $\pm$ 0.0017,0.0579 $\pm$ 0.0011,0.0 $\pm$ 0.0,5
Feature_0_Gamma,0.1952 $\pm$ 0.0,0.0974 $\pm$ 0.0031,0.0485 $\pm$ 0.0029,0.0241 $\pm$ 0.0018,0.0 $\pm$ 0.0,5
Feature_0_PokerPart,0.5267 $\pm$ 0.0,0.2656 $\pm$ 0.002,0.1344 $\pm$ 0.0019,0.068 $\pm$ 0.0012,0.0 $\pm$ 0.0,5
Feature_1_Adult,1.2253 $\pm$ 0.0,0.6119 $\pm$ 0.0028,0.3066 $\pm$ 0.0029,0.1528 $\pm$ 0.0024,0.0 $\pm$ 0.0,5
Feature_1_Bank,0.3761 $\pm$ 0.0,0.1876 $\pm$ 0.0015,0.0947 $\pm$ 0.0018,0.047 $\pm$ 0.0014,0.0 $\pm$ 0.0,5
Feature_1_Cardio,0.6403 $\pm$ 0.0,0.3202 $\pm$ 0.0022,0.16 $\pm$ 0.0012,0.08 $\pm$ 0.0013,0.0 $\pm$ 0.0,5
Feature_1_Chess,0.6248 $\pm$ 0.0,0.3132 $\pm$ 0.0033,0.1564 $\pm$ 0.0031,0.0786 $\pm$ 0.0021,0.0 $\pm$ 0.0,5
Feature_1_Credit,0.2959 $\pm$ 0.0,0.1479 $\pm$ 0.0011,0.0739 $\pm$ 0.0012,0.037 $\pm$ 0.001,0.0 $\pm$ 0.0,5
Feature_1_Diamonds,0.2155 $\pm$ 0.0,0.1077 $\pm$ 0.0013,0.0543 $\pm$ 0.0013,0.027 $\pm$ 0.0011,0.0 $\pm$ 0.0,5
Feature_1_Gamma,0.0699 $\pm$ 0.0,0.0357 $\pm$ 0.004,0.0189 $\pm$ 0.0032,0.0093 $\pm$ 0.0028,0.0 $\pm$ 0.0,5
Feature_1_PokerPart,0.5325 $\pm$ 0.0,0.2684 $\pm$ 0.003,0.135 $\pm$ 0.0016,0.0689 $\pm$ 0.0013,0.0 $\pm$ 0.0,5
